Rank,Ticker,Company Name,Latest Close,Realised Volatility 30d (%),Realised Volatility 100d (%),Realised Volatility 100d 1d (%),Realised Volatility 100d 1w (%),Min Realised Volatility 100d (2y),Max Realised Volatility 100d (2y),Mean Realised Volatility 100d (2y),Rvol 100d Percentile 2y (%),Rvol 100d Z-Score Percentile 2y (%),Realised Volatility 180d (%),Realised Volatility 252d (%),Weighted IV (%),Weighted IV 1d (%),Weighted IV 1w (%),Weighted IV 3m (%),Weighted IV 3m 1d (%),Weighted IV 3m 1w (%),ATM IV 3m (%),ATM IV 3m 1d (%),ATM IV 3m 1w (%),Rvol100d - Weighted IV,Volume,Volume 1d (%),Volume 1w (%),Open Interest,OI 1d (%),OI 1w (%),Num Contracts
343,NMFC,New Mountain Finance Corporation,9.69,20.56,18.34,0.5,8.47,8.58,29.08,15.85,73.82,63.03,23.99,21.71,574.07,-17.29,568.16,885.3,27.56,1021.74,,,,-555.73,999,186.25,94.36,"1,244",-16.57,-8.46,15
188,PRGS,Progress Software Corporation,41.91,30.3,34.32,0.5,-1.55,18.24,40.36,29.25,73.57,80.84,36.57,34.79,130.57,-13.8,139.36,101.38,4.69,113.81,17.25,74.43,-65.11,-96.25,"3,873",80.56,55.29,"48,791",0.65,3.28,75
157,CBRL,"Cracker Barrel Old Country Store, Inc.",49.59,57.71,58.95,0.5,1.14,40.36,66.9,53.32,73.32,78.58,61.38,58.82,155.41,-29.1,121.58,128.02,-14.11,127.7,,,,-96.46,"46,201",62.42,561.43,"82,063",16.53,42.77,181
89,BTU,Peabody Energy Corporation,21.27,51.55,55.1,0.5,1.88,30.12,69.59,44.71,73.32,77.44,62.37,57.25,176.31,-20.13,186.38,,,,277.07,,,-121.2,"41,053",14.79,162.64,"297,469",-0.07,5.16,207
306,HLX,"Helix Energy Solutions Group, Inc.",6.34,35.56,48.87,0.5,-0.27,32.72,63.53,44.3,73.32,70.32,53.76,49.81,53.73,-45.06,-32.73,52.53,-1.97,7.72,46.11,-9.92,-3.74,-4.86,314,-22.28,-16.93,"4,745",0.27,6.39,25
105,KOS,Kosmos Energy Ltd.,1.78,57.7,72.52,0.5,2.16,37.38,98.14,62.44,73.07,68.49,82.19,78.88,85.74,-38.88,-12.97,,,,,,,-13.23,"1,771",-4.58,-11.23,"188,928",0.18,1.05,44
140,ARRY,"Array Technologies, Inc.",7.82,96.37,92.66,0.5,0.07,54.52,96.62,80.16,73.07,82.41,89.37,89.64,87.05,-12.83,-3.22,,,,80.22,,,5.61,"4,040",36.12,40.72,"99,878",0.11,1.49,63
205,NOG,"Northern Oil and Gas, Inc.",25.87,37.8,45.99,0.5,-0.23,24.98,67.76,41.2,72.57,63.15,56.24,51.55,391.46,10.53,513.41,426.12,8.49,674.91,,,,-345.47,"4,171",25.97,26.24,"39,121",0.5,4.3,168
137,GPRE,"Green Plains, Inc.",9.61,91.52,74.42,0.5,0.81,37.7,89.19,62.26,72.57,79.37,80.65,75.18,73.48,-10.6,-6.14,72.8,-3.12,-4.42,75.96,5.03,1.98,0.93,"6,198",37.58,-8.85,"104,292",0.18,2.62,75
249,NBR,Nabors Industries Ltd.,40.51,69.16,72.4,0.5,-2.26,44.14,95.5,64.72,72.32,68.61,81.02,74.98,86.09,-2.81,0.38,97.35,-3.26,4.47,82.51,10.81,10.24,-13.69,"1,216",23.08,17.26,"16,315",0.36,0.19,94
352,VREX,Varex Imaging Corporation,11.6,72.99,68.49,0.5,-1.71,26.13,86.62,51.87,72.32,80.76,73.45,65.91,119.28,-22.83,0.05,129.75,5.32,13.2,189.26,5.56,10.85,-50.78,205,0.0,-3.76,887,0.0,0.34,16
215,ATI,ATI Inc.,78.44,28.15,46.75,0.5,-5.38,32.34,63.03,42.79,72.32,67.27,52.37,47.87,57.42,-3.74,12.58,,,,36.48,,,-10.67,"3,522",-1.76,-2.81,"32,581",0.48,2.32,150
55,PEP,"PepsiCo, Inc.",141.23,19.57,22.07,0.5,-5.02,14.34,25.59,18.96,72.07,80.84,23.97,21.85,177.91,7.64,585.17,,,,,,,-155.84,"20,817",-9.36,-23.49,"560,992",0.58,8.77,434
276,EVH,Evotec SE,8.54,56.77,72.0,0.5,0.06,34.92,121.84,70.4,72.07,52.26,64.96,87.66,103.23,-53.94,-10.13,94.92,8.65,-17.43,,,,-31.23,"2,917",0.41,39.84,"11,491",-0.25,4.05,48
344,INN,"Summit Hotel Properties, Inc.",5.78,39.64,41.68,0.5,0.16,26.34,60.2,36.57,72.07,66.91,48.75,44.67,426.32,36.13,463.59,544.67,,1287.93,,,,-384.64,285,0.0,1.79,"1,229",-0.57,-0.49,9
153,NRG,"NRG Energy, Inc.",164.58,53.34,53.09,0.5,-2.2,21.36,70.82,43.91,71.57,73.67,59.19,53.89,147.89,-13.6,173.25,160.85,-0.16,202.56,7.18,-47.95,-83.96,-94.81,"6,224",25.01,-12.83,"85,297",0.51,7.71,353
133,PR,Permian Resources Corporation,13.56,36.71,35.83,0.5,0.15,25.09,58.71,37.26,71.57,45.16,48.48,44.49,318.63,0.07,556.72,,,,,,,-282.8,"3,168",-41.68,100.63,"111,191",2.32,9.78,93
285,VSH,"Vishay Intertechnology, Inc.",15.18,60.38,50.76,0.5,-4.55,25.78,78.38,43.58,71.57,65.37,63.42,57.0,185.21,12.05,247.34,185.08,5.04,233.55,,,,-134.45,552,25.45,40.46,"8,686",-0.17,0.09,30
37,RIG,Transocean Ltd.,3.4,47.73,55.72,0.5,-1.58,39.96,79.95,55.04,71.57,52.16,66.98,62.04,63.27,4.65,-2.44,70.27,12.37,10.78,58.49,-1.98,0.63,-7.55,"16,650",-44.02,12.43,"842,793",0.04,0.09,142
111,STX,Seagate Technology Holdings plc,213.36,34.06,36.59,0.5,0.35,25.8,54.69,36.41,71.57,50.77,45.95,41.87,211.05,-10.84,320.89,323.27,-0.7,616.44,219.35,4551.08,413.09,-174.46,"19,112",9.42,6.07,"174,874",1.02,8.57,488
264,JAZZ,Jazz Pharmaceuticals plc,129.54,33.53,33.88,0.5,-1.97,24.78,43.77,31.82,70.82,63.94,36.36,34.44,49.36,-34.03,-27.79,55.53,-1.92,-4.06,51.39,-3.22,-4.51,-15.48,894,6.81,-17.45,"13,188",0.27,10.07,113
8,AAL,"American Airlines Group, Inc.",12.48,48.54,48.69,0.5,-0.59,36.46,68.46,48.33,70.82,51.48,57.97,54.99,50.71,-24.76,-16.55,60.31,-2.69,-2.73,43.67,-9.44,2.3,-2.01,"170,142",-21.84,-18.98,"3,275,363",0.33,2.27,324
289,HCAT,"Health Catalyst, Inc.",2.81,104.53,72.18,0.5,-0.82,52.0,81.74,65.28,70.07,78.35,67.76,64.32,87.45,-51.45,-22.95,,,,,,,-15.27,205,4.06,-69.94,"7,927",0.06,0.43,12
88,MDB,"MongoDB, Inc.",315.38,106.9,67.28,0.5,-1.43,43.29,81.13,61.24,68.83,72.03,73.55,69.53,54.76,-36.16,-11.31,61.27,-6.74,2.89,56.96,0.82,5.11,12.52,"33,754",3.69,48.87,"300,453",1.65,0.95,892
349,CNMD,CONMED Corporation,50.48,42.38,44.56,0.5,1.15,34.37,51.3,41.81,68.58,71.36,44.6,42.2,149.78,-23.54,147.78,136.64,10.71,192.96,,,,-105.22,167,-2.34,-1.76,975,0.1,0.93,32
300,IDCC,"InterDigital, Inc.",327.17,36.33,33.38,0.5,-0.67,20.99,42.04,31.47,68.58,62.47,39.05,36.63,130.3,-19.1,139.59,125.52,2.41,182.16,112.29,609.72,185.82,-96.93,"1,223",-7.0,8.52,"5,844",0.36,13.41,164
167,GES,"Guess?, Inc.",16.7,71.11,53.24,0.5,-9.2,32.38,89.79,52.96,68.33,50.53,75.7,67.06,318.71,-18.38,273.03,,,,,,,-265.48,"5,910",0.25,-28.07,"69,313",0.01,0.11,63
350,PEB,Peabody Energy Corporation,11.8,37.31,39.32,0.5,0.44,27.8,59.19,39.6,68.33,48.93,48.87,45.71,91.67,-55.1,24.22,99.38,-1.19,107.36,,,,-52.35,82,1.23,41.38,964,2.77,-0.52,14
128,GPN,Global Payments Inc.,85.35,38.23,33.28,0.5,-3.08,22.57,55.55,34.71,68.08,44.47,44.5,41.31,151.84,3.49,278.14,,,,8.83,-93.91,-77.17,-118.56,"4,344",27.46,17.6,"122,409",0.14,0.69,163
232,TWO,Two Harbors Investment Corp.,10.03,26.94,28.43,0.5,-2.34,17.59,39.39,25.98,66.33,66.2,29.71,27.64,617.81,-14.42,843.92,604.3,-13.55,1140.43,,,,-589.38,"1,136",-23.4,-34.41,"22,129",0.8,1.51,48
263,CYBR,CyberArk Software Ltd.,480.15,22.08,34.16,0.5,-3.64,23.47,46.63,33.45,66.33,54.29,40.43,37.89,36.91,-7.94,0.09,42.91,4.13,9.71,32.15,6.34,35.01,-2.76,"2,435",40.26,11.04,"13,333",0.46,3.35,267
121,GOSS,"Gossamer Bio, Inc.",2.99,108.35,90.8,0.5,1.03,57.6,102.45,85.18,65.84,71.18,91.71,85.91,122.31,-16.3,-30.13,,,,85.93,-3.62,-25.02,-31.5,"8,606",-20.12,-62.03,"131,652",6.35,43.0,33
198,FRPT,"FarPointe Data, Inc.",53.42,51.1,48.11,0.5,0.43,29.01,65.14,43.36,65.84,65.79,57.27,51.62,67.17,-30.16,0.26,76.29,-4.27,10.27,67.91,-3.92,6.52,-19.05,"11,286",66.34,189.68,"41,629",2.16,8.3,198
246,EZPW,"EZCORP, Inc.",17.07,21.3,30.7,0.5,-0.38,22.46,34.13,28.68,65.59,77.43,30.44,28.78,35.3,-65.31,-54.58,35.31,-29.12,-10.61,33.73,0.4,218.27,-4.6,"2,040",13.65,24.39,"17,372",1.18,15.75,24
116,SPOT,Spotify Technology S.A.,707.19,26.61,42.47,0.5,-2.2,26.45,54.95,40.54,65.34,59.41,48.42,44.77,48.34,5.66,-1.29,55.26,15.64,3.72,46.04,-0.29,8.14,-5.87,"29,853",66.47,3.44,"159,213",1.37,5.29,"1,107"
