Rank,Ticker,Company Name,Latest Close,Realised Volatility 30d (%),Realised Volatility 100d (%),Realised Volatility 100d 1d (%),Realised Volatility 100d 1w (%),Min Realised Volatility 100d (1y),Max Realised Volatility 100d (1y),Mean Realised Volatility 100d (1y),Rvol 100d Percentile (%),Rvol 100d Z-Score Percentile (%),Realised Volatility 180d (%),Realised Volatility 252d (%),Weighted IV (%),Weighted IV 1d (%),Weighted IV 1w (%),Weighted IV 3m (%),Weighted IV 3m 1d (%),Weighted IV 3m 1w (%),ATM IV 3m (%),ATM IV 3m 1d (%),ATM IV 3m 1w (%),Rvol100d - Weighted IV,Volume,Volume 1d (%),Volume 1w (%),Open Interest,OI 1d (%),OI 1w (%)
19,UBER,"Uber Technologies, Inc.",92.81,27.52,36.22,0.54,-8.23,36.0,47.79,43.56,2.0,0.46,39.54,40.55,43.51,-33.01,,44.49,-3.43,,,,,-7.29,"78,964",-33.26,52.66,"1,506,068",2.17,0.22
131,SO,Southern Company (The),92.09,12.4,15.84,0.43,-8.69,15.84,22.59,19.93,0.0,0.38,18.87,18.16,22.87,36.92,,23.76,24.51,,18.57,-2.68,,-7.03,"7,853",12.04,42.73,"96,799",1.23,3.28
17,AVGO,Broadcom Inc.,298.24,31.09,44.55,0.49,-8.85,44.55,77.67,62.86,0.67,1.54,61.13,56.67,50.78,,,51.3,,,,,,-6.23,"220,894",14.42,239.09,"1,821,792",3.09,-0.98
306,GBX,"Greenbrier Companies, Inc. (The)",46.44,27.99,44.55,-7.94,-12.93,28.47,51.47,42.32,72.0,63.72,42.86,41.67,38.68,-56.06,5.87,41.9,-69.4,10.47,36.55,-73.3,-3.64,5.87,887,19.86,17.8,"3,676",0.0,0.88
111,FLR,Fluor Corporation,41.74,98.56,67.55,0.39,-4.06,48.29,71.26,55.28,85.33,96.64,61.92,57.47,56.16,4.32,-35.91,55.36,-5.92,12.04,,,,11.39,"14,301",269.34,59.79,"153,537",0.23,2.73
64,BYND,"Beyond Meat, Inc.",2.37,66.29,69.35,-0.52,-1.32,59.19,70.63,64.41,87.33,93.89,66.34,64.12,161.73,,-11.58,205.91,,3.64,,,,-92.38,"11,149",-11.75,0.85,"371,458",0.52,-5.63
201,CDLX,"Cardlytics, Inc.",1.01,167.73,128.28,-1.57,-3.78,82.31,134.37,104.09,88.0,93.77,115.47,107.25,141.59,,9.88,144.28,,,,,,-13.31,983,-5.3,-1.6,"34,259",0.59,1.52
291,BFH,"Bread Financial Holdings, Inc.",65.49,38.64,42.05,0.06,-14.93,41.18,50.33,47.64,1.33,1.36,44.13,46.69,39.13,-30.73,2.41,38.8,-71.59,5.92,38.06,22.58,3.92,2.92,"2,424",-22.65,365.26,"5,357",16.84,28.04
170,OMER,Omeros Corporation,4.29,69.43,115.26,-0.99,-1.64,97.9,147.27,124.28,20.67,25.23,110.56,118.78,158.74,,,173.18,,,149.26,,,-43.48,"3,404",1.73,-10.16,"58,685",0.86,4.08
42,MRK,"Merck & Co., Inc.",85.48,26.19,30.23,-0.3,-4.32,19.12,34.66,29.78,40.0,54.63,29.92,27.34,28.89,-5.9,-18.92,38.83,43.0,13.17,27.66,1.87,,1.34,"26,070",18.83,56.42,"678,935",1.12,0.56
29,U,Unity Software Inc.,39.41,59.54,68.06,0.13,-6.56,61.1,87.06,78.05,10.67,7.83,76.18,72.9,71.25,-20.29,-25.75,57.87,-26.79,-22.58,,,,-3.2,"72,433",-37.5,79.13,"983,575",7.51,-2.97
177,PPL,PPL Corporation,36.42,15.9,17.18,0.53,-11.44,17.18,21.63,19.68,0.67,1.73,18.93,18.27,16.9,-10.59,-35.45,,,,,,,0.29,"2,345",20.81,109.75,"48,130",-11.47,-11.14
169,BOX,"Box, Inc.",32.2,21.94,33.37,0.02,-0.82,22.72,35.14,28.86,56.0,80.98,28.99,27.89,39.74,-18.11,19.79,35.39,,,,,,-6.38,"2,936",3.64,-68.81,"59,605",-1.14,-0.3
249,PEGA,"Pegasystems, Inc.",53.7,53.25,58.51,0.47,-3.04,36.22,70.26,59.43,40.0,46.18,58.37,53.25,49.35,,,44.68,,,44.68,,,9.16,"1,218",9.93,32.54,"13,857",-0.67,-0.87
110,Z,"Zillow Group, Inc.",81.81,40.13,36.84,-1.17,-4.29,35.96,51.56,43.25,5.33,9.86,38.75,43.28,46.25,,-9.11,50.1,,32.13,41.45,,9.31,-9.41,"9,401",35.5,28.68,"153,904",0.8,-5.4
337,TTGT,"TechTarget, Inc.",5.64,78.18,83.97,-0.09,-11.76,59.62,99.25,79.69,56.0,62.49,79.59,76.02,238.83,,36.83,80.17,,,,,,-154.86,210,0.0,2.44,"1,412",-0.91,-0.84
294,ZD,"Ziff Davis, Inc.",37.96,72.97,57.64,0.09,-3.94,37.23,60.96,47.66,88.0,93.19,51.5,49.07,51.31,,3.75,53.8,,,,,,6.33,"1,804",0.5,3.5,"4,822",0.52,0.82
49,PTON,"Peloton Interactive, Inc.",7.36,81.46,76.61,0.53,-5.55,75.5,90.47,83.07,2.67,1.47,78.61,81.97,138.33,,,150.03,,,,,,-61.72,"16,967",77.85,-21.45,"588,767",0.26,-2.08
31,XOM,Exxon Mobil Corporation,114.69,14.5,23.79,-0.63,-15.33,19.03,29.65,25.83,31.33,30.82,25.05,23.95,22.4,5.96,-6.34,19.0,-8.64,-17.8,19.13,-20.43,-17.2,1.4,"50,220",-14.34,9.74,"897,819",1.33,0.27
181,MOMO,Hello Group Inc.,8.29,25.01,37.1,-0.41,-5.25,37.1,46.09,42.87,0.67,0.2,40.2,41.67,95.9,,90.59,,,,,,,-58.8,"1,316",-27.53,-24.24,"44,862",1.49,4.16
272,DVAX,Dynavax Technologies Corporation,9.91,35.36,42.76,-1.62,-1.55,29.25,44.08,37.35,88.67,85.66,36.31,36.59,130.78,,235.99,468.26,,,,,,-88.02,"2,559",58.65,141.42,"9,268",-0.01,7.43
350,VREX,Varex Imaging Corporation,11.6,70.71,75.52,0.47,-12.24,39.71,86.62,69.91,47.33,64.99,72.85,67.37,108.79,,18.84,121.63,,88.67,165.6,,,-33.27,231,4.52,5.96,876,0.11,0.92
82,TDOC,"Teladoc Health, Inc.",7.64,48.35,54.88,0.52,-0.09,53.79,72.55,64.08,7.33,5.08,59.97,61.84,79.66,10.01,,101.24,,,,,,-24.78,"20,651",75.69,40.92,"300,882",0.16,-5.99
53,PEP,"PepsiCo, Inc.",150.28,20.97,24.2,-0.22,-3.59,16.8,25.59,22.75,58.0,73.0,23.8,21.64,25.66,,,20.16,,,20.16,,,-1.46,"56,954",135.9,443.2,"497,906",2.3,0.89
283,ARAY,Accuray Incorporated,1.49,63.64,64.65,0.42,-2.44,58.12,68.97,63.3,67.33,72.0,62.2,63.76,90.96,,,71.63,,,,,,-26.31,808,93.3,99.51,"6,928",0.1,3.82
244,AWK,"American Water Works Company, Inc.",141.41,22.99,22.86,0.77,-6.75,22.23,29.57,25.88,12.0,7.9,25.33,23.62,19.32,12.37,-14.56,18.95,,,18.95,18.04,-9.9,3.54,676,8.86,57.94,"15,929",0.49,1.4
293,AEIS,"Advanced Energy Industries, Inc.",145.49,41.63,49.06,0.72,-10.22,35.07,63.68,53.04,32.67,33.68,51.91,47.09,47.71,,,73.64,,,,,,1.35,"4,069",229.47,248.37,"4,912",1.72,29.78
136,TTWO,"Take-Two Interactive Software, Inc.",240.95,25.54,29.25,1.82,-5.62,22.7,38.71,33.04,6.67,15.87,32.14,29.71,38.42,,8.88,46.08,,,,,,-9.17,"9,093",-4.96,33.62,"93,732",3.65,0.76
138,GPRE,"Green Plains, Inc.",11.01,87.93,77.0,-1.37,-5.24,57.89,89.19,77.65,40.0,46.36,81.05,76.36,86.48,,,71.28,,,,,,-9.48,"3,986",-13.97,-38.56,"89,892",-2.4,4.08
62,UPST,"Upstart Holdings, Inc.",69.17,85.41,79.0,0.66,-9.9,78.87,112.94,97.11,1.33,0.75,88.84,93.0,77.37,,-53.0,93.02,,,,,,1.63,"98,595",35.16,270.06,"405,376",10.28,-7.44
333,TYL,"Tyler Technologies, Inc.",552.49,28.08,28.19,0.03,-4.25,20.9,31.22,27.62,34.0,57.19,27.75,25.51,49.19,82.73,43.67,33.17,,,33.17,104.81,,-21.01,426,-1.62,1.67,"1,760",-0.51,1.73
212,VERI,"Veritone, Inc.",3.11,129.09,111.97,-0.14,-1.04,80.0,118.27,102.82,72.67,78.29,111.15,109.36,108.91,,-62.35,113.79,,-67.92,,,,3.06,830,-57.65,-76.1,"29,928",-0.19,4.94
129,GRPN,"Groupon, Inc.",25.84,76.29,82.56,0.54,-0.52,75.8,99.18,89.92,10.67,14.0,82.83,86.4,77.65,,19.14,73.87,,-0.96,,,,4.91,"8,426",-2.65,1.01,"101,548",-8.67,-8.1
143,CYTK,"Cytokinetics, Incorporated",49.62,108.12,73.57,46.42,43.13,37.36,73.57,53.21,99.33,99.93,66.12,59.62,72.34,,-46.89,84.2,,-44.09,,,,1.23,"16,356",438.38,22.51,"85,222",2.64,9.78
239,HALO,"Halozyme Therapeutics, Inc.",73.34,18.21,60.34,0.12,-0.49,28.16,61.22,52.16,60.0,78.18,47.98,51.17,45.37,,34.32,40.43,,10.48,37.07,,1.29,14.97,"1,683",9.29,4.47,"18,394",-0.45,4.4
178,TVTX,"Travere Therapeutics, Inc.",18.15,38.3,60.58,-0.84,-5.89,53.66,75.27,64.61,31.33,25.39,62.11,63.68,82.06,,11.78,89.21,,,,,,-21.48,"1,256",-64.02,-51.79,"47,422",-1.15,3.07
327,LNT,Alliant Energy Corporation,64.66,15.81,18.19,-0.56,-12.04,18.19,22.47,20.66,0.67,0.17,19.44,19.26,17.9,,-6.24,,,,,,,0.28,213,-6.17,-4.91,"2,234",-5.06,-3.37
205,TMDX,"TransMedics Group, Inc.",111.55,59.27,60.71,0.76,-0.45,57.32,89.98,70.31,24.67,20.4,61.8,72.61,61.63,,-51.69,63.78,,,,,,-0.92,"3,655",100.38,61.87,"33,315",0.66,1.62
242,WEC,"WEC Energy Group, Inc.",106.02,14.53,15.87,0.59,-6.27,15.86,20.63,18.42,1.33,2.01,17.94,16.9,16.02,-54.86,-16.59,16.73,,,16.73,-42.04,-24.64,-0.15,542,-73.78,14.83,"16,982",10.12,10.12
106,BILL,"BILL Holdings, Inc.",46.73,62.93,53.15,-1.04,7.56,47.63,89.54,75.51,22.67,9.77,73.12,68.16,79.95,20.26,-21.88,52.01,-4.2,-22.82,,,,-26.8,"13,782",-40.36,-44.08,"166,888",4.78,2.41
133,INSM,Insmed Incorporated,145.3,35.69,55.18,0.67,-1.22,38.25,57.63,46.43,62.67,85.63,48.74,46.31,51.76,,54.97,52.68,,54.33,,,,3.42,"10,327",-46.34,85.54,"94,372",18.99,29.0
226,DNMR,"Danimer Scientific, Inc.",0.35,0.0,0.0,,,0.0,261.9,191.56,0.0,0.4,185.21,173.04,370.55,0.34,,,,,,,,-370.55,287,0.0,,"21,238",0.0,
4,AMD,"Advanced Micro Devices, Inc.",162.32,45.73,56.97,-1.56,-7.64,40.27,62.51,54.7,34.0,59.95,53.93,51.55,48.69,,,49.11,,,,,,8.27,"509,772",17.99,175.12,"3,680,618",2.7,-4.57
71,ETSY,"Etsy, Inc.",51.7,57.88,48.5,-1.65,-5.58,37.29,51.84,45.42,82.67,81.61,47.95,45.46,55.88,,-19.56,55.04,,2.28,,,,-7.38,"57,958",97.59,156.56,"346,563",4.4,-0.45
112,DXCM,"DexCom, Inc.",74.3,43.73,45.41,0.47,-5.94,31.54,50.17,43.19,44.67,63.43,43.88,40.79,47.61,,,41.02,,,,,,-2.2,"6,846",-3.88,-6.1,"153,477",1.2,10.17
200,ZTO,ZTO Express (Cayman) Inc.,17.87,30.43,36.0,-6.1,-7.72,31.39,41.45,37.86,28.67,26.52,36.82,37.07,51.68,-7.18,-13.34,64.34,,,,,,-15.68,"2,388",25.88,49.53,"34,749",1.33,1.93
314,BAND,Bandwidth Inc.,15.25,76.3,56.72,-0.22,-1.84,44.53,58.92,49.16,84.0,96.32,51.84,50.06,65.29,,,94.52,,,,,,-8.57,452,-21.66,19.89,"3,104",5.69,8.04
328,INVA,"Innovava, Inc.",20.88,29.99,23.77,0.79,0.36,15.44,23.82,17.62,97.33,99.43,20.69,19.73,32.82,,9.01,29.29,,,29.29,,-12.92,-9.06,45,-30.77,-30.77,"2,211",-0.09,0.09
40,JPM,JPMorgan Chase & Co.,299.7,15.75,22.36,0.56,-21.27,22.34,32.29,29.53,1.33,0.14,26.26,27.39,24.78,10.06,-16.7,22.19,0.73,-29.49,21.87,3.44,,-2.42,"46,597",-10.59,17.33,"731,283",2.51,-0.64
217,PTCT,"PTC Therapeutics, Inc.",52.43,59.99,61.46,-0.27,-2.62,48.94,65.73,59.8,48.0,64.28,55.96,57.97,45.42,,-29.69,50.55,,,50.55,,-33.44,16.05,"1,864",9.84,11.88,"28,925",-0.09,-0.07
150,TCOM,Trip.com Group Limited,71.59,52.65,40.21,0.72,6.92,37.17,54.85,46.42,18.0,9.45,44.7,48.34,41.3,,,34.48,,,34.48,,,-1.09,"5,242",-40.92,22.02,"77,939",0.48,11.23
271,IMAX,IMAX Corporation,29.3,34.45,32.12,-6.52,-8.95,28.36,37.03,34.75,8.67,6.23,33.15,34.42,37.12,-2.62,-0.73,38.36,,,,,,-5.0,640,14.29,-7.25,"10,081",-0.55,0.08
237,HUBS,"HubSpot, Inc.",471.54,42.25,47.74,0.53,-6.72,31.91,53.04,45.83,41.33,60.23,45.75,42.57,46.95,0.29,4.18,50.66,,,,,,0.79,"4,118",-3.33,24.22,"18,433",1.5,3.7
98,LAZR,"Luminar Technologies, Inc.",1.63,98.84,93.02,0.04,0.22,93.02,142.88,124.79,0.0,0.71,118.84,115.33,253.98,,,219.15,,,,,,-160.96,"6,225",-48.43,36.9,"206,821",3.58,2.96
70,DDOG,"Datadog, Inc.",134.69,43.22,45.28,0.53,-2.32,36.43,50.51,44.93,38.67,54.24,44.48,42.97,46.76,,-6.53,43.05,,1.92,,,,-1.47,"21,643",-20.24,0.17,"346,955",3.1,4.43
78,ON,ON Semiconductor Corporation,48.94,65.36,67.33,-1.99,-7.54,39.87,73.75,60.91,47.33,69.99,62.83,57.62,59.93,,-0.54,,,,,,,7.4,"14,969",-25.82,-49.29,"314,577",2.29,5.49
85,MCHP,Microchip Technology Incorporated,63.6,44.15,64.45,-1.22,-13.47,37.0,79.08,64.94,34.0,48.8,63.05,57.74,55.67,,6.83,47.91,,5.77,,,,8.78,"43,170",-13.01,26.91,"278,540",4.24,6.86
250,MTN,"Vail Resorts, Inc.",161.74,25.99,33.07,-1.68,-10.62,30.62,40.51,36.26,20.0,13.52,34.66,33.2,32.06,-42.07,,36.56,,,36.56,-9.69,,1.01,945,-8.87,-5.97,"13,812",0.66,3.95
63,IBM,International Business Machines Corporation,241.5,29.39,28.14,-0.15,-7.58,21.64,36.0,31.91,1.33,8.82,30.86,28.82,28.88,11.89,-6.28,31.89,15.76,-14.5,29.47,7.01,,-0.74,"35,352",-3.03,7.42,"392,927",2.49,0.71
224,CAKE,Cheesecake Factory Incorporated (The),61.09,35.28,35.12,0.54,-9.85,35.11,43.29,40.25,0.67,2.02,38.15,37.7,42.93,,-13.22,48.81,,44.6,,,,-7.81,"2,331",8.07,50.87,"21,273",0.48,3.51
180,UPWK,Upwork Inc.,15.96,51.5,49.41,0.96,-2.3,45.71,62.3,53.04,23.33,17.77,48.69,53.11,126.25,,190.81,,,,,,,-76.84,"3,414",48.18,173.56,"45,449",0.59,0.81
225,KPTI,Karyopharm Therapeutics Inc.,6.78,132.51,107.3,0.74,1.22,79.31,112.89,98.79,87.33,81.06,106.06,98.58,255.89,,9.72,366.8,,17.2,,,,-148.59,"1,184",1.89,-1.74,"21,270",3.86,12.02
43,BMY,Bristol-Myers Squibb Company,47.41,29.13,30.25,-1.4,-3.28,26.27,32.13,30.15,42.0,52.74,28.87,29.18,38.28,24.13,2.68,25.14,-7.49,-22.63,27.72,1.97,,-8.03,"29,772",36.57,92.85,"675,233",1.37,1.43
140,AKAM,"Akamai Technologies, Inc.",76.98,31.52,36.93,-0.24,-6.01,33.72,56.71,48.74,11.33,8.01,45.18,42.83,36.55,,-30.04,36.27,,22.9,36.27,,22.9,0.37,"2,592",-4.88,-5.3,"88,306",2.54,-2.35
15,MSFT,Microsoft Corporation,505.12,18.38,26.1,0.28,-3.64,21.53,32.53,27.69,34.0,30.79,26.13,24.61,23.15,,-9.21,21.0,,-6.13,27.74,,24.01,2.95,"232,906",-0.57,33.68,"2,270,785",2.74,-0.98
137,VNET,"VNET Group, Inc.",8.06,76.41,90.98,-0.58,-3.72,90.98,112.3,103.4,0.0,0.9,99.37,98.79,98.79,,10.3,104.78,,,,,,-7.81,"7,504",-57.62,315.04,"91,537",12.15,11.38
151,RH,RH,221.72,69.24,77.79,-1.46,-32.35,46.5,116.48,94.54,30.67,27.35,95.46,86.06,82.25,-4.63,3.31,74.98,0.66,2.2,73.95,-3.44,0.8,-4.45,"11,226",35.3,2.6,"77,688",0.97,-11.64
191,UNIT,Uniti Group Inc.,5.83,65.5,53.41,1.66,-1.46,41.75,54.52,46.84,90.67,97.38,50.05,50.22,56.31,,5.53,53.52,,-3.07,53.52,,-3.07,-2.9,789,-70.47,-78.1,"39,581",5.1,-8.76
253,LNTH,"Lantheus Holdings, Inc.",55.29,105.51,77.05,0.48,-0.71,45.87,78.1,59.84,89.33,97.88,65.82,63.84,46.48,,-5.63,51.83,,,,,,30.57,"1,905",6.37,8.79,"13,270",-0.28,2.53
210,BLMN,"Bloomin' Brands, Inc.",7.07,122.43,95.19,0.61,-1.19,49.54,98.44,75.43,88.0,92.31,85.47,77.04,86.54,,16.54,59.76,,,,,,8.65,"1,716",36.52,22.4,"31,958",2.52,4.0
27,WOLF,"Wolfspeed, Inc.",1.29,85.78,279.99,0.09,0.21,150.33,308.23,219.27,72.67,84.55,240.07,220.43,297.93,3.75,7.17,328.37,-6.31,2.49,,,,-17.94,"36,767",-21.34,10.96,"1,007,812",2.51,1.04
232,PRCH,"Porch Group, Inc.",17.75,84.03,113.54,-0.1,-2.57,113.54,181.31,147.31,0.0,3.86,122.76,141.31,98.15,,,87.19,,,,,,15.4,"10,159",308.81,637.23,"20,016",1.88,3.03
343,ECPG,"Encore Capital Group, Inc.",41.76,32.08,54.4,-3.0,-7.32,24.41,73.07,57.36,34.0,42.36,57.09,50.42,43.82,,,55.01,,,,,,10.58,226,0.0,-7.76,"1,041",-9.79,-8.68
175,CBRL,"Cracker Barrel Old Country Store, Inc.",54.72,60.39,61.55,2.79,-1.81,52.94,66.9,60.79,43.33,57.33,61.22,58.63,58.44,,,61.21,,,,,,3.11,"7,490",106.11,-52.5,"50,963",0.66,14.04
309,NOTV,"Inotiv, Inc.",1.6,107.13,154.64,0.6,-0.65,126.15,177.74,153.72,36.0,52.19,146.5,138.22,144.71,,-14.18,,,,,,,9.93,368,8.55,-75.45,"3,529",-2.14,-12.86
134,GDS,GDS Holdings Limited,32.98,56.2,65.81,-5.67,-10.96,65.81,108.74,94.84,0.67,0.5,89.22,85.6,66.04,,,67.22,,,68.91,,,-0.23,"8,777",19.9,135.43,"94,127",2.26,4.27
72,LI,Li-Cycle Holdings Corp.,24.4,48.33,45.04,-2.73,-4.14,45.04,65.88,58.39,0.67,1.16,53.61,59.28,63.51,,0.33,74.22,,,,,,-18.48,"22,385",-12.72,9.0,"342,249",3.26,7.73
255,MIDD,Middleby Corporation,137.37,71.24,52.44,-0.0,-4.86,33.01,55.44,42.57,90.0,93.97,46.98,42.81,155.25,,347.26,153.71,,,,,,-102.82,"6,604",0.36,1530.62,"12,759",-0.1,87.44
263,VIAV,Viavi Solutions Inc.,11.49,29.37,33.04,-0.23,-11.01,31.91,50.67,42.75,2.0,3.38,40.79,38.19,40.67,,,42.95,,,,,,-7.63,"1,676",125.57,60.38,"11,459",-0.35,0.46
146,LYV,"Live Nation Entertainment, Inc.",165.47,22.05,28.98,0.57,-8.54,21.42,37.97,32.46,22.0,25.53,31.07,29.24,26.7,-8.66,-20.78,26.85,-11.28,-3.91,25.65,-15.22,-8.19,2.28,"8,721",11.19,183.15,"82,413",2.13,3.09
125,CNK,"Cinemark Holdings, Inc.",25.61,28.19,29.69,0.44,-2.12,27.37,39.22,34.7,10.0,7.61,33.09,32.41,34.33,-6.71,-4.89,36.34,56.18,-7.07,33.89,,-13.34,-4.64,"12,849",0.9,63.31,"107,806",0.37,10.73
77,NVAX,"Novavax, Inc.",7.55,88.68,87.84,0.29,-2.49,68.19,93.15,82.78,76.67,77.09,81.19,82.58,146.26,,-1.77,,,,,,,-58.41,"22,138",36.16,200.05,"320,024",1.31,-5.53
2,NIO,NIO Inc.,6.58,87.15,63.27,-1.06,-2.23,58.47,73.08,64.4,33.33,34.36,64.47,69.69,115.16,19.75,22.54,78.91,-7.98,-1.24,78.91,-7.98,,-51.89,"411,969",37.4,124.99,"4,376,605",2.99,1.86
149,NICE,NICE Ltd.,136.5,57.41,42.33,0.57,-4.14,35.06,47.92,42.62,25.33,46.92,43.94,41.76,38.86,,,41.38,,,41.38,,,3.46,"5,693",147.52,146.45,"78,262",-0.09,0.19
233,ALNY,"Alnylam Pharmaceuticals, Inc.",447.0,46.87,43.3,-0.8,-8.36,37.48,53.28,46.67,25.33,26.2,46.2,43.94,54.83,,-35.01,78.05,,,,,,-11.53,"3,608",1.29,-4.02,"18,648",2.81,8.26
257,EYE,"National Vision Holdings, Inc.",21.94,40.27,49.05,0.63,-6.53,38.22,58.26,50.28,36.0,42.21,49.73,46.85,50.93,,,,,,,,,-1.88,267,10.33,-1.84,"12,135",0.0,0.14
262,PODD,Insulet Corporation,344.92,32.97,42.96,-0.47,-4.52,24.71,46.94,38.46,48.0,70.79,39.0,35.79,30.59,,,32.43,,,32.43,,,12.37,"1,916",-1.89,-17.77,"11,527",2.19,8.63
57,AFRM,"Affirm Holdings, Inc.",82.22,67.79,72.65,1.78,-8.03,70.28,93.41,84.47,7.33,3.34,79.44,82.84,71.17,,,70.82,,,62.65,,,1.48,"149,346",-29.9,528.8,"465,405",16.23,-1.55
135,DOCN,"DigitalOcean Holdings, Inc.",31.87,96.81,74.54,-0.96,-4.72,46.04,78.93,62.92,87.33,88.2,67.9,63.3,57.54,9.57,,65.97,17.78,,,,,17.0,"2,825",17.17,48.22,"93,993",0.24,-0.88
228,WGO,"Winnebago Industries, Inc.",35.11,49.23,53.61,-2.66,-6.06,40.11,59.79,51.6,47.33,61.64,52.27,48.96,56.28,-25.11,2.36,59.71,-16.83,6.62,58.22,-18.9,,-2.67,826,-20.58,-38.63,"20,920",-0.84,0.18
215,ATI,ATI Inc.,78.36,64.18,55.05,0.35,-9.7,32.43,63.03,50.65,52.0,67.89,52.17,48.16,39.95,-12.16,,,,,,,,15.1,"5,476",20.62,11.1,"29,009",1.41,1.68
321,IRWD,"Ironwood Pharmaceuticals, Inc.",1.31,97.75,125.9,-0.94,-1.25,75.15,140.93,119.06,67.33,74.1,120.58,109.4,151.22,,,107.41,,,,,,-25.32,81,-11.96,-31.36,"2,688",-0.19,4.96
69,LUV,Southwest Airlines Co.,32.25,47.84,47.36,-0.63,-11.0,25.86,54.89,43.25,36.67,65.27,44.63,40.77,54.56,29.67,16.08,47.24,0.07,-21.24,40.48,-13.49,,-7.21,"17,371",176.48,152.67,"353,781",0.51,4.01
87,WDC,Western Digital Corporation,81.91,38.36,39.44,0.58,-27.83,36.45,61.19,52.18,17.33,7.84,50.11,46.4,42.05,,-29.83,48.89,,21.74,,,,-2.61,"20,964",-18.47,19.33,"266,530",2.77,1.45
298,HLX,"Helix Energy Solutions Group, Inc.",6.53,62.03,55.77,-2.53,-11.1,34.84,63.53,51.92,44.67,65.78,53.86,50.17,56.0,-26.78,-15.62,48.74,,,48.74,-14.5,0.64,-0.23,443,24.79,25.5,"4,495",-0.38,-0.22
45,TGT,Target Corporation,92.44,34.73,37.33,-1.61,-11.22,37.33,53.92,42.97,0.0,7.62,36.22,41.13,41.16,-1.2,10.76,35.36,-14.96,-11.38,36.17,-13.01,-9.35,-3.83,"113,688",111.28,155.56,"673,159",3.07,-1.74
