Rank,Ticker,Company Name,Latest Close,Realised Volatility 30d (%),Realised Volatility 100d (%),Realised Volatility 100d 1d (%),Realised Volatility 100d 1w (%),Min Realised Volatility 100d (2y),Max Realised Volatility 100d (2y),Mean Realised Volatility 100d (2y),Rvol 100d Percentile 2y (%),Rvol 100d Z-Score Percentile 2y (%),Realised Volatility 180d (%),Realised Volatility 252d (%),Weighted IV (%),Weighted IV 1d (%),Weighted IV 1w (%),Weighted IV 3m (%),Weighted IV 3m 1d (%),Weighted IV 3m 1w (%),ATM IV 3m (%),ATM IV 3m 1d (%),ATM IV 3m 1w (%),Rvol100d - Weighted IV,Volume,Volume 1d (%),Volume 1w (%),Open Interest,OI 1d (%),OI 1w (%),Num Contracts,Latest Close_Color,Realised Volatility 30d (%)_Color,Realised Volatility 100d (%)_Color,Realised Volatility 100d 1d (%)_Color,Realised Volatility 100d 1w (%)_Color,Min Realised Volatility 100d (2y)_Color,Max Realised Volatility 100d (2y)_Color,Mean Realised Volatility 100d (2y)_Color,Rvol 100d Percentile 2y (%)_Color,Rvol 100d Z-Score Percentile 2y (%)_Color,Realised Volatility 180d (%)_Color,Realised Volatility 252d (%)_Color,Weighted IV (%)_Color,Weighted IV 1d (%)_Color,Weighted IV 1w (%)_Color,Weighted IV 3m (%)_Color,Weighted IV 3m 1d (%)_Color,Weighted IV 3m 1w (%)_Color,ATM IV 3m (%)_Color,ATM IV 3m 1d (%)_Color,ATM IV 3m 1w (%)_Color,Rvol100d - Weighted IV_Color,Volume_Color,Volume 1d (%)_Color,Volume 1w (%)_Color,Open Interest_Color,OI 1d (%)_Color,OI 1w (%)_Color,Num Contracts_Color
90,SRPT,"Sarepta Therapeutics, Inc.",17.64,80.75,147.58,0.5,-0.17,29.38,157.81,69.96,91.02,98.44,121.69,105.28,107.13,1.19,-0.4,120.68,,,110.58,2.56,3.84,40.45,"13,529",3.89,-24.94,"248,394",0.52,-0.19,201,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#10B981,#FFFFFF,#10B981,#F87171,#FFFFFF,#10B981,#F87171,#FFFFFF
281,ENOV,Enovis Corporation,31.19,45.73,53.35,0.5,-0.83,25.37,59.65,36.25,91.02,96.08,50.23,45.66,67.57,-4.18,-2.35,63.45,-4.48,,74.77,26.22,56.22,-14.22,363,4.61,-10.15,"8,780",0.0,0.05,33,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#F87171,#FFFFFF,#FFFFFF,#10B981,#10B981,#F87171,#FFFFFF,#10B981,#F87171,#FFFFFF,#FFFFFF,#10B981,#FFFFFF
270,MTH,Meritage Homes Corporation,79.09,41.7,41.55,0.5,2.07,32.77,45.35,38.32,90.02,89.14,40.63,39.15,48.28,-1.72,8.49,44.51,-6.59,,38.61,2.76,-0.35,-6.73,997,3.0,-4.32,"11,282",0.44,2.37,57,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#10B981,#FFFFFF,#F87171,#FFFFFF,#FFFFFF,#10B981,#F87171,#F87171,#FFFFFF,#10B981,#F87171,#FFFFFF,#10B981,#10B981,#FFFFFF
328,INVA,"Innovava, Inc.",20.18,29.8,23.44,0.5,-0.86,15.44,23.94,19.15,90.02,95.92,20.77,19.76,53.91,6.67,-3.37,45.29,3.68,,31.82,35.21,46.52,-30.47,180,-4.76,282.98,"2,282",0.44,3.02,18,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#F87171,#FFFFFF,#10B981,#FFFFFF,#FFFFFF,#10B981,#10B981,#F87171,#FFFFFF,#F87171,#10B981,#FFFFFF,#10B981,#10B981,#FFFFFF
52,MP,MP Materials Corp.,63.15,51.56,101.79,0.5,-4.74,51.54,111.58,66.84,89.53,98.02,91.65,83.06,83.11,6.18,5.16,85.65,13.98,,69.16,-5.07,-1.66,18.69,"41,388",-7.12,-9.16,"586,639",1.7,2.93,582,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#10B981,#FFFFFF,#FFFFFF,#F87171,#F87171,#10B981,#FFFFFF,#F87171,#F87171,#FFFFFF,#10B981,#10B981,#FFFFFF
336,AMPH,"Amphastar Pharmaceuticals, Inc.",29.33,63.2,45.34,0.5,-3.78,26.91,50.05,40.36,88.78,86.53,43.87,43.01,77.36,-18.35,10.39,72.58,4.38,,45.65,86.5,-5.86,-32.02,161,-6.4,-19.5,"1,458",0.34,1.89,29,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#10B981,#FFFFFF,#10B981,#FFFFFF,#FFFFFF,#10B981,#F87171,#F87171,#FFFFFF,#F87171,#F87171,#FFFFFF,#10B981,#10B981,#FFFFFF
259,MIDD,Middleby Corporation,138.68,72.4,46.41,0.5,-2.23,23.82,55.44,33.84,88.28,93.47,47.3,43.05,59.36,3.68,10.29,46.54,2.47,,33.26,-1.12,13.72,-12.96,"3,493",-0.03,-48.23,"12,563",0.02,-1.74,63,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#10B981,#FFFFFF,#FFFFFF,#F87171,#10B981,#F87171,#FFFFFF,#F87171,#F87171,#FFFFFF,#10B981,#F87171,#FFFFFF
350,IART,Integra LifeSciences Holdings Corporation,15.43,57.59,68.16,0.5,-1.89,28.83,72.69,54.81,88.03,89.16,61.8,60.31,110.2,4.41,27.54,100.48,2.4,,71.73,23.9,27.84,-42.04,111,-2.63,23.33,942,1.07,2.84,19,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#10B981,#FFFFFF,#FFFFFF,#10B981,#10B981,#F87171,#FFFFFF,#F87171,#10B981,#FFFFFF,#10B981,#10B981,#FFFFFF
266,GMED,"Globus Medical, Inc.",59.08,37.01,53.34,0.5,-0.17,22.65,56.65,35.42,87.53,95.07,45.47,40.6,58.28,2.3,17.77,39.73,-5.81,,33.77,1.96,4.35,-4.94,"1,672",0.18,34.19,"12,109",0.87,19.0,65,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#F87171,#FFFFFF,#FFFFFF,#10B981,#10B981,#F87171,#FFFFFF,#10B981,#10B981,#FFFFFF,#10B981,#10B981,#FFFFFF
55,ENPH,"Enphase Energy, Inc.",37.94,60.23,89.74,0.5,-0.26,55.51,94.48,68.27,87.28,98.12,78.14,75.97,81.16,-0.75,9.51,74.38,2.3,,68.72,-0.02,-3.84,8.58,"35,306",19.98,30.48,"514,635",0.6,2.67,314,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#10B981,#FFFFFF,#10B981,#FFFFFF,#FFFFFF,#F87171,#F87171,#10B981,#FFFFFF,#10B981,#10B981,#FFFFFF,#10B981,#10B981,#FFFFFF
70,SEDG,"SolarEdge Technologies, Inc.",30.04,87.65,126.15,0.5,-3.92,65.61,136.31,97.96,86.03,91.82,116.07,115.43,106.84,0.1,0.55,99.51,1.03,,95.43,-5.7,-4.34,19.31,"12,266",-57.21,-51.38,"364,509",1.59,0.3,282,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#10B981,#FFFFFF,#FFFFFF,#F87171,#F87171,#10B981,#FFFFFF,#F87171,#F87171,#FFFFFF,#10B981,#10B981,#FFFFFF
307,PAR,PAR Technology Corporation,46.86,75.46,49.7,0.5,-0.84,35.93,56.66,44.58,85.79,88.32,51.13,48.27,83.56,13.57,21.59,104.12,4.36,,47.52,4.03,30.45,-33.86,609,-10.44,-9.91,"4,299",0.47,2.16,52,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#10B981,#FFFFFF,#FFFFFF,#10B981,#10B981,#F87171,#FFFFFF,#F87171,#F87171,#FFFFFF,#10B981,#10B981,#FFFFFF
