Rank,Ticker,Company Name,Latest Close,Realised Volatility 30d (%),Realised Volatility 100d (%),Realised Volatility 100d 1d (%),Realised Volatility 100d 1w (%),Min Realised Volatility 100d (1y),Max Realised Volatility 100d (1y),Mean Realised Volatility 100d (1y),Rvol 100d Percentile (%),Rvol 100d Z-Score Percentile (%),Realised Volatility 180d (%),Realised Volatility 252d (%),Weighted IV (%),Weighted IV 1d (%),Weighted IV 1w (%),Weighted IV 3m (%),Weighted IV 3m 1d (%),Weighted IV 3m 1w (%),ATM IV 3m (%),ATM IV 3m 1d (%),ATM IV 3m 1w (%),Rvol100d - Weighted IV,Volume,Volume 1d (%),Volume 1w (%),Open Interest,OI 1d (%),OI 1w (%)
32,RKLB,Rocket Lab Corporation,47.73,68.17,74.71,0.46,-2.22,74.21,107.66,92.53,1.33,2.2,87.88,88.9,94.67,,,82.08,,,82.08,,,-19.97,"97,607",-25.32,-13.38,"912,856",6.44,10.99
46,DKNG,DraftKings Inc.,46.32,30.63,34.93,0.57,-12.19,34.87,56.48,49.75,2.0,0.66,47.33,44.96,57.24,,,60.24,,,,,,-22.3,"31,681",7.63,-10.59,"641,997",1.0,0.76
42,BMY,Bristol-Myers Squibb Company,46.72,27.83,28.61,0.34,-6.75,26.27,32.13,30.17,14.67,13.07,28.81,29.18,41.69,,35.2,37.84,,39.23,36.16,,33.03,-13.08,"25,400",-21.85,16.51,"719,513",2.1,8.01
260,EYE,"National Vision Holdings, Inc.",23.08,42.29,47.14,0.63,-3.29,38.22,58.26,50.49,30.0,28.89,49.77,46.92,50.42,,,,,,,,,-3.28,246,-2.77,1.65,"12,188",-0.1,0.44
344,PATK,Patriot Battery Metals Inc.,113.37,32.52,32.54,0.5,-9.79,32.41,39.93,36.81,2.67,0.93,34.8,35.81,38.85,,,37.75,,,40.61,,,-6.31,227,0.0,1.79,"1,049",0.48,1.06
300,FRT,Federal Realty Investment Trust,101.75,21.63,20.66,-0.47,-16.45,18.21,30.99,26.51,6.67,7.62,26.42,23.72,25.1,,2.11,17.55,,-0.7,17.55,,-0.7,-4.45,186,-9.71,-16.22,"4,726",1.18,9.73
284,BL,"BlackLine, Inc.",54.43,32.65,30.56,0.66,-7.84,29.28,48.0,41.35,6.0,3.32,39.97,36.86,55.99,,,97.61,,,57.16,,,-25.43,"1,204",2.29,10.36,"7,775",-0.12,7.93
280,VSH,"Vishay Intertechnology, Inc.",15.38,61.37,54.05,0.5,-19.1,35.43,78.38,63.15,28.0,27.17,63.5,57.15,46.77,,-20.46,48.92,,,48.92,,-9.37,7.28,394,2.34,-32.3,"8,677",0.98,1.87
79,WDC,Western Digital Corporation,93.29,40.27,33.27,-0.55,-15.16,33.27,61.19,52.1,0.0,1.98,50.2,46.59,58.18,,,58.29,,,,,,-24.91,"26,423",17.53,2.77,"325,889",12.73,25.66
365,MDRX,Veradigm Inc.,,,,,,,,,,,,,,,,,,,,,,,N/A,,,N/A,,
240,WEC,"WEC Energy Group, Inc.",107.36,13.69,15.42,-0.44,-2.24,15.42,20.63,18.4,0.67,1.05,17.84,16.9,15.93,,-55.1,16.0,,,16.0,,-44.57,-0.51,466,10.17,-77.46,"17,614",0.26,14.22
109,AR,Antero Resources Corporation,32.11,30.84,39.72,0.69,-11.16,39.65,54.23,49.47,0.67,1.3,47.47,45.67,41.71,,-8.25,41.34,,-1.63,,,,-1.99,"8,709",20.46,27.51,"162,780",0.54,-0.29
210,RWT,"Redwood Trust, Inc.",6.3,38.98,32.45,0.09,-10.51,23.93,40.79,33.65,30.67,42.16,34.57,31.99,40.27,,39.36,19.16,,,19.16,,,-7.82,906,-54.93,63.54,"31,545",3.21,5.06
88,MCHP,Microchip Technology Incorporated,65.3,38.68,46.88,0.63,-28.15,37.0,79.08,65.23,29.33,12.28,63.05,57.31,48.52,,,52.27,,,,,,-1.64,"26,867",-11.45,-45.86,"269,239",0.83,0.76
6,F,Ford Motor Company,11.69,20.5,24.54,-2.28,-21.15,24.54,37.9,34.76,0.67,0.01,32.09,32.05,58.47,,10.34,107.33,,247.53,29.61,,-4.12,-33.92,"98,461",0.4,-3.98,"3,553,964",0.47,0.64
318,MIRM,"Mirum Pharmaceuticals, Inc.",77.39,48.22,40.44,0.56,-5.32,36.48,43.97,40.24,61.33,54.22,41.1,39.88,44.88,,,43.23,,,,,,-4.45,455,5.81,-5.21,"2,900",2.51,8.61
330,CTO,"CTO Realty Growth, Inc.",17.17,26.05,21.96,-0.23,-6.08,18.67,29.37,24.1,16.0,15.15,24.66,26.67,38.49,,13.07,33.15,,4.88,33.15,,4.88,-16.53,110,-21.99,-34.52,"2,087",0.19,3.52
224,BKD,Brookdale Senior Living Inc.,7.74,36.6,35.24,-5.39,-22.23,35.24,50.47,46.71,0.67,0.01,43.91,44.12,45.0,,-17.65,,,,,,,-9.76,"1,727",-65.7,-17.49,"22,349",19.98,88.27
48,NEE,"NextEra Energy, Inc.",69.77,20.37,28.58,-0.23,-4.41,26.2,34.66,30.72,28.67,20.67,30.45,28.71,30.43,,-6.71,25.18,,0.0,24.23,,-3.76,-1.85,"35,201",73.55,64.2,"627,431",0.61,1.71
120,CHGG,"Chegg, Inc.",1.56,111.62,110.11,1.66,3.54,86.77,122.32,109.13,56.67,54.39,112.89,105.88,143.16,,-9.22,173.92,,,,,,-33.05,"15,190",7.52,293.52,"126,006",7.12,9.42
8,LCID,"Lucid Group, Inc.",18.44,71.45,82.57,0.47,4.76,69.12,84.22,76.11,94.67,94.79,80.36,77.95,188.82,,,297.26,,,,,,-106.25,"120,644",49.68,25.67,"3,011,388",-1.78,-4.0
66,IBM,International Business Machines Corporation,256.09,22.01,26.18,1.74,-7.1,25.86,36.0,31.93,1.33,1.57,31.07,28.93,29.29,,13.49,26.92,,-2.25,26.24,,-4.72,-3.11,"60,393",103.52,65.66,"383,154",1.58,-0.06
95,SHEL,Shell plc,71.71,12.08,16.98,0.36,-29.53,16.98,29.37,25.49,0.0,3.91,24.12,23.18,37.93,,76.49,,,,,,,-20.95,"15,181",-37.95,-32.15,"220,349",5.54,7.81
350,IART,Integra LifeSciences Holdings Corporation,15.68,57.27,68.4,0.54,-4.0,44.75,72.69,61.7,72.0,78.79,61.86,60.29,201.48,,,166.24,,,,,,-133.08,103,0.0,-14.17,920,-0.76,1.43
336,NSIT,"Insight Enterprises, Inc.",128.06,66.52,42.39,0.41,-4.44,26.55,46.38,34.97,82.0,93.04,38.76,38.43,73.57,,,104.02,,,42.66,,,-31.18,685,1.18,1857.14,"1,428",91.16,1247.17
173,HOUS,Anywhere Real Estate Inc.,6.51,69.23,62.21,0.04,-5.0,59.48,67.86,64.3,20.0,15.95,65.57,63.63,54.47,,-9.93,58.16,,,,,,7.74,"1,305",21.17,-4.67,"57,983",-0.82,-0.62
122,RCL,Royal Caribbean Cruises Ltd.,351.06,35.91,32.93,0.55,-21.51,32.64,56.19,48.1,2.0,1.92,46.66,42.56,57.1,,56.21,37.23,,,,,,-24.17,"9,905",4.15,1.06,"116,043",2.45,3.57
31,BBAI,"BigBear.ai Holdings, Inc.",4.87,75.85,108.1,-0.04,-4.09,108.1,165.75,143.1,0.0,2.67,135.09,129.8,131.5,,-7.72,151.72,,,,,,-23.4,"46,313",30.28,31.33,"937,513",1.31,1.27
257,MIDD,Middleby Corporation,141.83,72.15,46.36,0.71,-11.59,33.01,55.44,42.85,68.67,71.13,47.24,43.08,55.45,,,118.61,,,,,,-9.09,"3,553",-7.45,-46.0,"12,543",-1.2,-1.79
267,SKIN,The Beauty Health Company,2.33,94.31,128.96,1.39,0.83,69.0,136.67,107.13,72.0,80.35,113.15,106.16,167.49,,,138.89,,,,,,-38.53,136,28.3,-43.33,"11,016",0.03,0.05
174,IONS,"Ionis Pharmaceuticals, Inc.",61.0,92.94,58.07,0.4,48.77,37.63,59.49,44.52,97.33,99.92,55.12,52.03,53.6,,,,,,,,,4.47,"3,767",13.12,30.21,"55,462",6.0,25.39
246,HTHT,H World Group Limited,38.25,32.08,27.62,-1.09,-13.39,27.62,51.49,39.84,0.67,0.84,35.18,41.3,38.37,,,23.68,,,23.68,,,-10.75,"23,522",743.69,773.13,"15,531",0.45,-0.53
166,BSY,"Bentley Systems, Incorporated",54.28,22.73,21.28,-0.91,-14.88,21.28,30.71,27.73,0.67,0.8,26.22,26.03,28.47,,,32.91,,,19.69,,,-7.18,729,-47.48,-71.85,"64,903",1.31,3.63
309,EVRG,"Evergy, Inc.",70.77,14.88,17.47,0.19,-1.07,13.85,20.1,17.74,40.0,45.45,17.68,16.49,39.52,,,45.27,,,,,,-22.05,529,-0.94,-33.79,"3,697",0.03,14.39
339,LIVN,LivaNova PLC,58.32,43.1,47.68,-0.3,-3.83,25.47,56.23,46.38,44.0,55.64,47.45,42.6,37.17,,,39.16,,,,,,10.51,303,11.4,4.12,"1,265",2.02,30.01
165,EXPE,"Expedia Group, Inc.",217.2,31.49,32.23,0.37,-25.76,25.76,55.96,47.1,4.0,3.1,45.71,40.86,79.67,,,,,,,,,-47.44,"5,221",-3.05,-31.24,"67,292",1.49,1.93
21,UBER,"Uber Technologies, Inc.",94.36,28.96,32.07,1.87,-10.99,31.64,47.79,43.33,2.67,0.04,38.98,40.67,42.77,,-34.16,46.77,,1.52,,,,-10.7,"141,985",39.33,20.0,"1,488,788",2.8,1.0
144,SSRM,SSR Mining Inc.,21.39,56.27,53.02,0.44,-1.81,51.44,60.43,56.67,5.33,3.88,53.92,56.34,82.03,,,67.99,,,,,,-29.0,"3,399",-4.71,8.77,"87,635",1.82,7.71
199,ORA,"Ormat Technologies, Inc.",90.62,22.14,23.0,0.62,-6.07,22.98,30.28,26.87,1.33,4.74,25.74,25.66,30.87,,-6.23,34.51,,,,,,-7.87,745,-25.28,-77.93,"37,535",0.13,13.46
365,UPHL,Unknown (possibly a placeholder or delisted; no active match as of 2025),,,,,,,,,,,,,,,,,,,,,,,N/A,,,N/A,,
345,OMCL,"Omnicell, Inc.",32.33,31.45,44.43,0.42,-3.66,38.75,62.88,50.46,18.67,19.6,43.35,51.08,44.33,,,47.87,,,50.9,,,0.1,118,-28.05,-26.71,"1,011",-0.1,1.4
304,EGHT,"8x8, Inc.",2.09,67.82,58.31,-0.06,-6.91,58.17,69.81,64.89,0.67,0.53,61.79,63.33,68.08,,,76.56,,,76.56,,,-9.77,160,-41.39,-25.93,"4,051",3.18,4.73
167,BOX,"Box, Inc.",33.11,22.38,31.84,0.59,-4.55,22.72,35.14,29.1,55.33,70.62,28.82,27.59,27.68,,-42.97,28.63,,,28.63,,-19.84,4.16,"4,560",70.09,60.96,"62,543",-1.45,3.73
322,POST,"Post Holdings, Inc.",106.31,24.39,20.06,0.87,-2.02,16.74,23.05,21.07,24.0,20.54,21.44,20.08,23.58,,-9.13,24.74,,-4.65,23.26,,-1.55,-3.52,457,1.33,3.39,"2,652",0.42,2.91
60,SIRI,Sirius XM Holdings Inc.,24.43,44.69,37.76,-0.27,-7.44,37.76,55.2,47.15,0.67,0.86,44.06,47.15,47.0,,,39.07,,,42.7,,,-9.24,"17,229",32.62,17.8,"426,560",0.12,-0.25
201,CNX,CNX Resources Corporation,29.02,19.53,29.13,0.97,-6.87,28.99,41.31,37.15,1.33,0.99,35.64,35.68,35.17,,-19.12,33.1,,,,,,-6.04,785,-10.8,11.82,"36,546",0.09,0.71
249,MTN,"Vail Resorts, Inc.",151.75,24.91,29.62,2.98,-11.94,28.91,40.51,36.18,2.67,1.58,34.89,33.38,34.2,,-38.21,38.42,,,38.42,,-5.12,-4.58,"1,696",78.15,63.55,"14,388",0.45,4.85
353,CDP,"CPI Aerostructures, Inc.",30.49,18.26,18.63,0.05,-4.9,18.63,23.81,21.79,0.0,0.69,21.32,20.2,43.74,,-40.07,23.7,,,23.7,,,-25.12,86,-57.84,-21.82,591,1.9,40.71
184,ATEC,"Alphatec Holdings, Inc.",16.34,82.4,56.28,-0.05,-3.6,46.14,77.89,59.65,50.0,37.28,56.31,66.33,69.36,,,,,,,,,-13.08,"5,280",53.35,5.88,"45,187",0.07,23.49
357,WKC,Wolters Kluwer N.V.,26.42,30.92,24.14,0.66,-11.93,24.1,39.17,32.91,0.67,0.53,29.85,33.02,36.89,,9.53,36.57,,-23.94,45.87,,-4.6,-12.75,43,0.0,0.0,434,0.0,0.7
168,APLS,"Apellis Pharmaceuticals, Inc.",26.91,66.06,56.42,1.41,-1.3,52.49,63.18,56.24,60.67,52.57,57.28,56.44,98.07,,,,,,,,,-41.65,"5,758",0.72,3.01,"62,085",-0.67,-0.82
117,SPOT,Spotify Technology S.A.,718.28,50.15,43.97,0.58,-5.13,32.92,54.95,49.06,18.0,17.34,48.91,44.77,51.65,,8.79,47.98,,9.81,,,,-7.68,"19,987",20.86,8.73,"144,184",2.27,4.31
352,IIIV,"i3 Verticals, Inc.",30.95,41.95,38.32,0.35,-1.09,32.11,40.57,36.45,78.67,83.41,36.96,36.09,36.93,,,,,,,,,1.39,33,0.0,-29.79,725,-0.28,-0.28
313,BAND,Bandwidth Inc.,15.7,74.78,53.41,0.46,-6.04,44.53,58.92,49.36,81.33,82.97,51.14,49.95,72.22,,,111.7,,,,,,-18.81,615,32.83,6.59,"3,115",-0.8,6.06
134,DOCN,"DigitalOcean Holdings, Inc.",33.31,96.86,68.3,0.56,-9.25,46.04,78.93,63.5,58.67,69.36,67.8,63.04,54.24,,3.29,58.58,,4.6,55.93,,,14.05,"3,476",-11.08,44.17,"96,202",0.04,2.6
29,XOM,Exxon Mobil Corporation,109.85,18.15,20.94,0.57,-12.53,19.03,29.65,25.87,28.67,11.04,25.29,24.09,22.2,,5.01,24.02,,15.51,23.94,,-0.45,-1.25,"68,516",-42.48,16.87,"1,019,323",12.75,15.04
209,CMPO,"CompoSecure, Inc.",19.4,67.29,43.96,1.55,-3.49,34.28,49.42,45.05,28.67,36.79,47.64,45.52,44.66,,,47.32,,,,,,-0.7,"2,187",6.79,5.25,"32,344",1.22,1.55
67,V,Visa Inc.,342.3,16.42,20.35,0.45,-15.02,16.03,28.8,24.05,28.67,20.39,23.77,22.65,23.33,,-25.13,22.54,,1.7,21.1,,-4.84,-2.98,"23,212",-19.66,-12.74,"368,717",2.94,4.59
347,CNMD,CONMED Corporation,53.83,39.83,44.78,0.65,-9.2,34.37,51.3,44.84,42.67,49.58,44.23,42.45,67.87,,-39.04,64.66,,-51.42,45.58,,-65.76,-23.08,185,2.21,29.37,968,0.52,4.31
89,BTU,Peabody Energy Corporation,18.38,56.19,55.0,-0.22,-9.62,41.91,69.59,60.49,30.67,26.15,61.62,56.74,61.92,,-18.43,,,,,,,-6.92,"12,778",-64.03,-17.81,"265,271",-0.59,0.91
308,GBX,"Greenbrier Companies, Inc. (The)",46.46,27.4,41.24,0.71,-14.78,28.47,51.47,42.48,40.67,42.13,43.0,41.71,42.52,,-51.7,46.57,,-65.99,47.26,,-65.48,-1.28,678,15.7,-8.38,"3,766",0.53,2.45
82,ABNB,"Airbnb, Inc.",124.62,36.3,30.56,0.34,-20.32,30.54,49.64,43.79,1.33,0.69,41.7,39.3,40.31,,,36.15,,,36.15,,,-9.75,"28,932",5.95,3.59,"314,785",4.38,8.5
187,SHAK,Shake Shack Inc.,97.59,58.52,45.3,0.99,-11.57,34.27,62.98,54.96,10.67,11.64,54.93,50.19,51.18,,-37.9,56.75,,42.42,,,,-5.88,"5,718",40.28,15.24,"43,695",1.61,1.81
19,JD,"JD.com, Inc.",32.85,28.81,33.22,0.11,-4.67,33.22,62.28,49.41,0.67,1.26,43.09,50.5,37.39,,,60.72,,,,,,-4.17,"333,570",232.04,145.11,"1,608,029",2.1,16.83
326,LNT,Alliant Energy Corporation,64.05,14.48,17.47,-0.65,-4.48,17.47,22.47,20.6,0.0,0.06,19.43,19.26,17.88,,,,,,,,,-0.41,195,-0.51,-14.1,"2,273",-5.01,-3.4
146,GOSS,"Gossamer Bio, Inc.",2.66,98.82,87.49,2.55,0.91,70.53,102.45,88.46,33.33,44.68,89.64,84.84,127.28,,,87.57,,,,,,-39.79,"1,631",-52.37,118.05,"86,258",3.83,4.69
73,CFLT,"Confluent, Inc.",20.24,125.0,82.05,0.91,-3.62,48.99,88.72,73.16,84.0,82.07,79.84,72.77,78.99,,,75.93,,,,,,3.06,"27,224",44.82,83.65,"339,450",0.11,2.64
169,WB,Weibo Corporation,11.52,47.5,36.68,0.91,-8.31,36.53,57.77,45.46,1.33,3.4,42.56,48.72,79.46,,,,,,,,,-42.78,"1,132",28.2,-1.99,"61,908",0.32,3.39
147,RH,RH,240.99,68.55,65.84,1.07,-16.6,46.5,116.48,94.77,29.33,14.68,93.74,86.47,86.4,,0.18,72.94,,-2.07,69.84,,-8.8,-20.56,"16,394",-1.06,97.59,"86,050",9.09,11.84
71,EQT,EQT Corporation,50.76,24.05,35.34,0.75,-3.38,35.25,45.61,42.1,0.67,0.55,40.72,39.03,38.42,,9.34,37.03,,,37.03,,,-3.08,"12,177",-6.9,-43.31,"342,592",0.56,4.32
18,PDD,PDD Holdings Inc.,125.03,29.54,37.76,-1.13,-7.67,37.76,56.96,50.19,0.0,0.14,44.79,49.13,38.52,,,38.28,,,,,,-0.76,"52,216",2.9,-27.93,"1,838,206",0.54,4.72
196,WIX,Wix.com Ltd.,153.08,53.84,49.9,0.5,-3.45,40.5,54.89,49.09,51.33,57.29,48.33,46.91,48.35,,,50.77,,,51.35,,,1.54,"12,377",123.78,153.42,"37,818",-0.04,7.99
230,ASRT,"Assertio Holdings, Inc.",0.8,52.92,47.29,0.51,-7.87,47.29,62.43,54.63,1.33,5.01,50.4,55.57,199.11,,,78.7,,,,,,-151.82,301,59.26,13.16,"21,207",0.06,0.85
268,EVH,Evotec SE,9.67,52.39,71.52,0.37,-0.23,52.99,114.94,79.08,64.0,37.11,64.09,87.09,84.02,,10.54,112.68,,,,,,-12.5,"2,043",-0.73,-10.98,"10,839",-1.09,1.32
239,LRN,"Stride, Inc.",164.42,49.6,40.03,0.85,-2.64,28.75,62.02,41.22,66.0,45.57,37.07,48.52,79.73,,13.31,51.19,,9.18,51.41,,9.65,-39.71,"1,528",9.06,14.71,"18,251",-1.75,9.66
202,ZTO,ZTO Express (Cayman) Inc.,18.85,28.53,33.31,-0.04,-13.12,31.39,41.45,37.81,11.33,6.83,36.88,36.9,43.16,,-22.49,43.54,,,,,,-9.85,"3,328",130.31,75.43,"35,225",0.19,2.71
127,ARRY,"Array Technologies, Inc.",8.75,94.18,91.78,0.63,-3.17,82.43,96.62,90.99,42.67,57.47,89.29,90.65,94.32,,,,,,,,,-2.55,"10,038",106.88,333.98,"107,000",-0.55,-0.37
320,ITRI,"Itron, Inc.",120.12,36.45,26.7,0.53,-11.4,26.69,36.91,33.36,0.67,1.32,32.44,31.57,45.05,,,63.2,,,89.61,,,-18.35,415,17.56,-28.2,"2,823",21.37,23.49
44,MRK,"Merck & Co., Inc.",84.09,24.2,28.32,0.61,-6.6,19.12,34.66,30.02,32.0,31.35,29.86,27.34,36.11,,17.63,39.05,,43.83,33.65,,23.95,-7.79,"31,362",-5.01,42.95,"703,119",1.32,4.73
129,FSLY,"Fastly, Inc.",7.52,62.92,63.31,0.35,-7.28,63.31,86.55,77.0,0.67,0.55,70.52,71.06,95.03,,50.4,58.41,,,,,,-31.73,"2,240",15.88,-19.77,"104,706",0.17,-0.5
92,OKTA,"Okta, Inc.",92.68,33.2,43.39,0.59,-5.56,29.23,62.43,51.43,16.0,21.01,50.61,45.53,44.69,,,48.18,,,,,,-1.3,"21,878",-14.55,-71.43,"231,282",2.6,4.32
140,SENS,"Senseonics Holdings, Inc.",0.44,48.24,58.38,0.46,-9.02,58.38,152.14,117.49,0.67,4.19,113.96,107.29,223.13,,109.9,,,,,,,-164.75,929,-24.29,42.48,"91,463",0.76,3.03
40,LYFT,"Lyft, Inc.",17.71,50.48,56.07,1.69,-5.41,55.01,68.54,62.19,5.33,5.68,57.5,58.96,67.96,,,61.17,,,,,,-11.89,"82,618",48.92,26.06,"749,290",2.75,8.01
58,KHC,Kraft Heinz Company (The),26.9,32.43,26.33,0.36,5.96,19.29,28.16,25.54,49.33,63.4,27.3,24.83,38.17,,,17.45,,,17.45,,,-11.84,"37,231",63.34,63.67,"445,746",1.2,9.51
59,NCLH,Norwegian Cruise Line Holdings Ltd.,24.53,44.94,44.65,2.08,-16.43,41.61,63.78,55.56,24.67,9.62,54.34,51.46,56.89,,-22.23,61.45,,,,,,-12.24,"23,357",72.14,57.79,"441,688",0.6,1.22
315,VAC,Marriott Vacations Worldwide Corporation,78.23,39.09,40.65,0.64,-20.31,36.83,59.26,51.12,14.0,9.46,49.49,47.03,51.65,,-64.95,,,,,,,-11.0,562,3.12,-24.56,"3,063",1.79,20.35
204,TMDX,"TransMedics Group, Inc.",105.58,59.2,57.55,-1.41,-4.48,57.32,89.98,69.52,2.0,14.62,61.91,72.4,60.96,,,66.75,,,,,,-3.41,"3,037",14.82,66.5,"34,629",2.05,4.63
323,BTSG,"BrightSpring Health Services, Inc.",25.48,40.02,45.06,2.16,-6.61,44.33,51.95,49.6,5.66,0.97,48.7,46.97,47.47,,,47.83,,,47.83,,,-2.41,514,207.78,193.71,"2,472",0.12,0.08
9,RIVN,"Rivian Automotive, Inc.",13.99,46.01,43.95,-0.67,-2.76,43.5,79.21,63.69,1.33,4.47,58.47,62.27,83.56,,,112.85,,,,,,-39.61,"131,899",-31.81,56.03,"2,783,986",2.57,3.65
232,IMCR,Immunocore Holdings plc,36.64,36.43,43.99,0.67,0.96,37.32,51.36,44.97,46.0,41.18,44.67,43.05,53.73,,,49.81,,,,,,-9.74,662,-34.52,-33.67,"20,540",0.09,1.98
86,EQX,Equinox Gold Corp.,9.83,57.12,48.95,0.46,-1.03,46.33,57.97,53.08,14.67,9.12,51.03,53.42,56.3,,-27.66,,,,,,,-7.35,"17,737",-16.86,19.03,"289,547",2.42,14.43
281,TREE,"LendingTree, Inc.",73.99,48.01,69.19,0.19,-2.54,69.19,87.13,78.96,0.0,3.53,74.24,73.61,66.92,,,71.52,,,,,,2.27,"1,495",9.44,197.22,"8,277",-0.04,7.63
276,CMS,CMS Energy Corporation,70.69,14.36,16.78,-1.32,-2.48,15.78,20.85,18.55,16.0,10.5,17.96,17.12,23.54,,21.8,18.4,,,18.4,,-11.96,-6.76,"2,542",0.79,8.77,"8,910",3.18,5.61
110,MMM,3M Company,154.0,25.77,27.85,0.66,-10.71,21.79,37.16,31.92,29.33,24.41,31.3,28.8,27.66,,-33.33,26.77,,-63.0,26.87,,-9.85,0.19,"7,099",-9.09,-60.35,"162,025",1.38,2.43
310,BHR,Braemar Hotels & Resorts,2.98,73.91,63.24,0.48,-2.28,45.53,66.69,54.69,95.33,91.29,59.08,55.81,94.95,,2.67,,,,,,,-31.7,170,-34.87,-40.35,"3,656",2.75,4.13
274,ASND,Ascendis Pharma A/S,205.22,34.03,36.02,-0.14,-2.31,36.02,50.6,44.95,0.0,1.74,43.21,43.92,56.19,,,60.28,,,,,,-20.17,"1,206",0.67,-36.12,"9,904",-0.17,12.44
336,TTGT,"TechTarget, Inc.",5.89,62.81,80.86,0.93,-3.79,59.62,99.25,80.26,47.33,51.85,79.64,76.16,231.93,,,65.18,,,,,,-151.07,235,0.0,11.9,"1,428",-1.24,0.21
15,SMCI,"Super Micro Computer, Inc.",40.04,75.43,75.47,0.53,-5.54,75.45,148.74,112.59,0.67,4.26,93.09,110.9,78.51,,,82.65,,,,,,-3.04,"309,653",110.24,-25.68,"2,284,326",2.21,10.16
221,NEO,NeoGames S.A.,7.93,102.15,96.66,0.24,-1.61,62.0,107.12,88.88,61.33,71.69,93.12,81.83,72.05,,,61.95,,,,,,24.62,"2,870",-5.84,-62.91,"26,726",-1.37,22.2
172,GH,"Guardant Health, Inc.",60.17,67.12,53.03,0.11,-5.56,53.03,74.17,66.17,0.0,2.0,64.42,62.58,89.76,,,90.7,,,,,,-36.73,"11,674",-1.67,150.89,"60,266",4.98,3.14
11,OPEN,Opendoor Technologies Inc.,6.04,207.95,182.29,0.72,1.12,70.21,182.29,103.4,100.0,98.32,145.83,129.52,181.53,,,195.48,,,,,,0.76,"1,335,023",24.5,163.5,"2,602,134",7.21,12.77
118,ZS,"Zscaler, Inc.",281.6,29.49,31.56,1.19,-16.09,31.25,48.82,42.78,1.33,1.06,40.68,39.1,40.74,,,33.44,,,33.44,,,-9.17,"21,898",25.84,39.88,"142,999",1.64,12.33
314,MTSI,"MACOM Technology Solutions Holdings, Inc.",130.25,43.97,35.27,0.38,-26.65,35.27,63.8,55.23,0.67,0.07,52.2,49.79,39.02,,,41.05,,,40.1,,,-3.74,231,-17.79,-73.01,"3,101",-0.19,3.06
