Ticker,Normalized 3m,Normalized 6m,Normalized 1y
XERS,61.31,77.78,38.82
HLF,87.84,91.53,77.09
LUV,98.15,109.08,88.08
BAND,85.9,91.4,104.84
BMY,99.76,128.68,102.0
REAL,50.65,61.87,32.27
VRNT,80.86,105.31,130.22
ALNY,67.71,61.43,59.5
PSEC,108.72,139.13,167.13
DIS,101.85,85.95,79.89
BYND,125.09,131.0,232.47
SHAK,129.81,91.61,103.51
AEIS,81.56,66.51,62.43
MIRM,68.84,63.72,54.6
CMI,75.44,76.7,71.13
PPL,94.65,97.15,89.13
FOUR,106.37,102.59,97.24
XIFR,85.39,96.81,249.81
FIVN,107.29,118.2,111.33
BILL,83.06,93.28,98.54
ITGR,115.42,111.73,122.36
PSN,90.16,78.29,130.07
RWT,89.91,98.08,117.89
CMS,97.61,103.51,97.44
BURL,85.08,87.56,101.15
UPWK,78.25,79.36,61.11
SHOP,71.99,70.79,50.57
LYFT,72.76,59.34,60.67
ARAY,76.4,115.53,118.01
TTEK,97.19,79.34,126.25
RCL,83.24,66.8,51.78
NVMI,76.79,65.11,64.44
SHEL,98.56,96.17,90.37
ATEC,72.46,66.07,39.59
BBAI,66.67,50.0,26.94
PEGA,87.02,62.7,57.12
HOUS,51.07,52.07,77.32
HRTG,91.22,55.43,63.77
MGNI,81.58,57.65,56.87
COLL,83.1,84.36,104.94
CAMP,49.46,189.89,
BMRN,102.41,132.07,130.79
TGT,104.88,113.44,163.08
MSFT,94.19,76.6,84.85
GTLS,72.26,77.82,60.07
AR,131.07,124.19,80.57
NVCR,132.49,152.44,142.11
LAB,78.99,87.68,144.93
CVX,91.86,100.9,85.99
QTWO,109.09,97.14,93.44
FE,91.37,90.01,97.35
WELL,92.31,87.89,75.74
WT,73.65,62.36,70.34
LPSN,108.82,135.29,151.47
TSLA,76.38,58.99,54.05
W,56.29,38.58,57.83
RGEN,98.15,116.93,113.9
MTCH,80.46,80.47,94.3
SNAP,106.33,120.54,121.71
CDP,92.53,85.55,94.48
GRPN,166.2,76.71,55.66
IRTC,83.45,59.91,41.0
PMT,98.63,113.05,103.66
MMM,90.64,95.17,83.68
REXR,84.75,89.17,114.86
ABR,86.42,100.78,113.04
PRCH,60.76,37.9,8.36
PANW,99.23,90.55,83.92
CMPO,72.49,58.22,52.76
ALRM,101.57,101.97,97.53
AVDL,60.48,55.61,89.75
VTR,91.41,96.78,91.91
OMCL,87.47,105.01,138.99
CRNC,74.3,84.24,21.48
MGPI,109.1,105.38,299.34
SSRM,60.68,50.51,26.83
NCLH,71.89,79.75,77.25
MMYT,97.97,104.84,108.2
TMDX,104.07,57.95,130.99
ENVX,95.51,94.94,103.93
FSLY,80.76,84.44,87.29
DUK,94.47,97.31,93.61
EYE,95.71,54.18,46.07
CAKE,107.3,88.24,68.62
EB,90.32,82.8,108.24
CMRC,100.41,122.49,124.95
WEC,94.75,96.63,85.14
LYV,87.0,72.21,60.39
OKTA,110.1,126.49,82.53
BKD,92.93,81.79,91.98
MITK,98.05,93.95,87.09
SOFI,56.02,46.94,29.61
TDOC,89.07,106.86,115.76
ZTO,87.94,101.32,112.9
COIN,90.05,57.9,49.54
LCII,88.52,86.59,116.25
MTSI,102.39,81.48,77.41
PCT,101.86,57.81,65.18
NOTV,160.74,203.7,131.85
JPM,88.18,77.3,66.19
CNK,113.97,90.71,99.23
JOYY,78.93,63.95,54.16
AG,80.52,66.67,58.56
AVGO,69.63,53.11,44.62
STWD,97.02,94.15,92.47
LNT,93.59,97.52,91.74
INSG,59.63,72.95,131.49
SIRI,91.1,98.26,95.4
AMD,79.02,66.33,93.99
WKC,107.72,106.37,112.83
CHRS,56.47,75.74,76.47
FUBO,73.66,74.13,38.0
OPK,92.81,129.5,119.42
TREE,46.97,70.14,79.22
UPST,87.96,77.36,56.11
VATE,112.82,184.19,89.53
HCI,83.33,76.29,58.74
NVAX,73.6,88.79,151.05
ASND,86.55,84.16,74.32
BL,100.53,91.99,92.9
EXPE,72.07,76.93,61.13
MOMO,112.29,81.22,78.13
NTNX,94.71,94.0,74.71
ABNB,108.64,105.87,100.38
IQ,63.77,86.04,77.36
LITE,51.76,38.98,34.15
VRM,119.8,97.7,
CENX,66.26,74.17,55.85
VIAV,76.75,95.48,68.78
FWONK,101.46,85.45,77.82
IMAX,89.87,82.33,63.4
LAC,82.3,93.48,75.16
GDS,73.02,74.14,47.78
CCL,75.67,67.12,57.79
CSGS,97.76,91.78,73.33
BILI,73.93,72.54,55.28
NTRA,97.7,86.37,72.69
WDC,57.35,42.22,48.16
WB,75.46,71.98,52.85
EGHT,91.09,106.93,94.55
HASI,90.87,101.08,118.32
UBER,85.29,77.52,74.39
LI,101.19,101.11,81.92
DBX,88.03,82.37,76.56
JBLU,80.87,107.1,113.41
DKNG,92.36,92.1,90.85
BB,108.0,108.25,60.5
SPR,95.47,92.23,85.6
RIVN,96.16,81.01,91.48
ASRT,78.58,85.72,154.78
ORA,93.19,78.45,82.49
EXAS,98.87,86.17,128.43
JD,93.63,118.21,75.34
LAZR,136.97,395.73,575.12
GCI,78.08,69.86,124.89
VRNS,86.97,71.73,94.19
PTON,78.34,87.66,57.93
CNP,93.91,93.9,73.37
BSY,97.13,80.2,95.58
Z,76.26,80.46,70.93
SO,96.25,96.23,94.95
PCRX,91.1,91.06,54.13
MSTR,110.13,90.72,39.17
BXMT,97.42,102.1,90.97
F,88.65,83.77,87.23
MAXN,75.7,93.16,217.72
NET,82.74,54.38,36.08
SENS,112.45,165.0,96.86
GH,91.28,83.21,45.29
CAMT,87.35,76.95,87.24
BKNG,96.39,84.04,73.31
SMTC,67.0,63.34,67.9
PENN,91.33,91.81,104.55
MARA,82.66,70.62,90.53
ITRI,107.01,90.03,88.79
DNMR,100.0,100.0,4380.57
PDD,79.23,98.12,76.23
ZS,108.32,72.78,60.41
AFRM,68.56,55.47,48.91
SMCI,99.02,93.85,97.84
BBIO,77.68,67.53,51.91
UPHL,100.0,100.0,85000.0
BA,91.94,82.83,72.73
HLIT,87.99,102.0,136.04
FVRR,127.56,110.64,107.06
HTHT,89.84,98.18,75.81
BFH,83.46,78.76,81.77
HOPE,92.45,94.51,112.13
