Rank,Ticker,Company Name,Latest Close,Realised Volatility 30d (%),Realised Volatility 100d (%),Realised Volatility 100d 1d (%),Realised Volatility 100d 1w (%),Min Realised Volatility 100d (1y),Max Realised Volatility 100d (1y),Mean Realised Volatility 100d (1y),Rvol 100d Percentile (%),Rvol 100d Z-Score Percentile (%),Realised Volatility 180d (%),Realised Volatility 252d (%),Weighted IV (%),Weighted IV 1d (%),Weighted IV 1w (%),Weighted IV 3m (%),Weighted IV 3m 1d (%),Weighted IV 3m 1w (%),ATM IV 3m (%),ATM IV 3m 1d (%),ATM IV 3m 1w (%),Rvol100d - Weighted IV,Volume,Volume 1d (%),Volume 1w (%),Open Interest,OI 1d (%),OI 1w (%),Latest Close_Color,Realised Volatility 30d (%)_Color,Realised Volatility 100d (%)_Color,Realised Volatility 100d 1d (%)_Color,Realised Volatility 100d 1w (%)_Color,Min Realised Volatility 100d (1y)_Color,Max Realised Volatility 100d (1y)_Color,Mean Realised Volatility 100d (1y)_Color,Rvol 100d Percentile (%)_Color,Rvol 100d Z-Score Percentile (%)_Color,Realised Volatility 180d (%)_Color,Realised Volatility 252d (%)_Color,Weighted IV (%)_Color,Weighted IV 1d (%)_Color,Weighted IV 1w (%)_Color,Weighted IV 3m (%)_Color,Weighted IV 3m 1d (%)_Color,Weighted IV 3m 1w (%)_Color,ATM IV 3m (%)_Color,ATM IV 3m 1d (%)_Color,ATM IV 3m 1w (%)_Color,Rvol100d - Weighted IV_Color,Volume_Color,Volume 1d (%)_Color,Volume 1w (%)_Color,Open Interest_Color,OI 1d (%)_Color,OI 1w (%)_Color
90,SRPT,"Sarepta Therapeutics, Inc.",18.95,92.62,148.57,-0.33,-0.69,37.4,157.81,95.14,78.15,90.05,121.56,105.1,124.6,9.83,10.13,160.47,,4.59,,,,23.97,"18,024",13.34,56.32,"248,865",1.93,-2.58,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#FFFFFF,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#FFFFFF,#10B981,#10B981,#FFFFFF,#10B981,#F87171
127,CNK,"Cinemark Holdings, Inc.",25.39,27.82,28.51,-3.49,-5.96,27.37,39.22,34.66,10.6,4.05,33.05,32.42,37.94,10.53,-38.79,35.88,,16.56,29.31,-13.5,-4.78,-9.44,"12,842",-0.05,63.86,"107,806",0.0,10.57,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#F87171,#FFFFFF,#FFFFFF,#10B981,#FFFFFF,#F87171,#F87171,#F87171,#FFFFFF,#F87171,#10B981,#FFFFFF,#FFFFFF,#10B981
80,BB,BlackBerry Limited,3.77,30.92,40.32,-11.27,-12.93,40.32,80.12,65.55,0.0,0.39,63.41,59.05,85.58,4.21,10.74,59.38,,,,,,-45.26,"8,405",-28.58,-52.76,"309,869",2.16,4.71,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#F87171,#F87171,#FFFFFF,#10B981,#10B981
260,TNDM,"Tandem Diabetes Care, Inc.",12.35,93.93,72.7,-0.64,0.14,50.04,90.95,78.52,28.48,33.9,80.58,73.82,81.0,2.17,13.28,86.03,,3.16,86.03,,,-8.3,"1,218",3.48,-4.99,"11,683",1.13,6.55,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#FFFFFF,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#10B981,#F87171,#FFFFFF,#10B981,#10B981
28,U,Unity Software Inc.,39.1,57.64,62.52,-7.67,-9.41,61.1,87.06,77.95,5.3,1.54,76.19,72.9,74.23,4.18,-23.36,60.09,,-21.36,66.54,,-12.92,-11.71,"49,550",-31.59,-45.62,"1,001,653",1.84,-1.2,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#F87171,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#F87171,#F87171,#FFFFFF,#10B981,#F87171
44,BMY,Bristol-Myers Squibb Company,47.5,27.94,30.18,0.26,-2.64,26.27,32.13,30.15,41.06,50.65,28.73,29.15,37.45,-2.17,-5.29,30.63,,-36.04,35.03,26.4,,-7.27,"25,219",-15.29,-14.79,"686,358",1.65,3.15,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#10B981,#FFFFFF,#F87171,#FFFFFF,#F87171,#F87171,#FFFFFF,#10B981,#10B981
326,MGPI,"MGP Ingredients, Inc.",29.19,34.59,37.93,-5.08,-5.14,37.06,62.22,44.75,4.64,22.0,39.03,49.19,46.28,-28.06,-37.7,43.39,,,43.39,,6.53,-8.36,173,0.0,-1.7,"2,260",2.4,2.63,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#F87171,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#10B981,#10B981
21,JD,"JD.com, Inc.",31.2,25.26,33.53,-3.37,-11.0,33.53,62.28,50.02,0.66,0.96,42.82,50.35,51.05,5.76,-42.76,42.13,,-24.8,42.49,-3.0,,-17.52,"161,494",-18.63,42.84,"1,522,555",6.5,11.27,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#F87171,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#F87171,#FFFFFF,#F87171,#FFFFFF,#F87171,#10B981,#FFFFFF,#10B981,#10B981
177,CBRL,"Cracker Barrel Old Country Store, Inc.",54.09,59.72,59.24,-3.26,-0.78,52.94,66.9,60.78,31.79,35.24,61.23,58.62,65.69,12.41,20.22,58.55,,,,,,-6.45,"3,289",-56.09,-84.94,"50,075",-1.74,12.21,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#F87171,#F87171,#FFFFFF,#F87171,#10B981
266,VIAV,Viavi Solutions Inc.,11.5,29.31,31.8,-3.26,-7.38,31.8,50.67,42.68,0.0,2.14,40.74,38.18,47.69,17.28,21.13,49.16,,,,,,-15.89,796,-52.51,-23.02,"10,694",-6.68,-5.85,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#F87171,#F87171,#FFFFFF,#F87171,#F87171
302,EEFT,"Euronet Worldwide, Inc.",90.64,29.17,30.37,-13.0,-19.64,21.28,42.81,36.09,27.81,19.29,36.35,32.81,29.65,-8.39,-4.61,35.42,,11.95,35.42,6.89,11.95,0.72,645,-0.31,43.33,"4,213",6.42,7.75,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#FFFFFF,#10B981,#FFFFFF,#10B981,#10B981,#10B981,#FFFFFF,#F87171,#10B981,#FFFFFF,#10B981,#10B981
342,NVST,Envista Holdings Corporation,20.3,46.72,40.67,-6.75,-8.45,36.97,48.23,43.82,28.48,19.73,43.39,42.16,46.57,-38.11,31.37,45.74,,,45.74,-30.48,14.17,-5.9,213,0.0,-6.58,"1,068",0.0,0.38,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#10B981,#F87171,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#FFFFFF,#10B981
272,GTLS,"Chart Industries, Inc.",198.91,42.96,50.34,-6.95,-10.02,41.0,72.85,62.69,15.89,11.84,60.68,56.24,36.31,-15.74,-23.68,38.32,,,,,,14.04,"2,838",-3.7,55.93,"8,969",8.7,23.15,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#FFFFFF,#F87171,#10B981,#FFFFFF,#10B981,#10B981
33,IQ,"iQIYI, Inc.",2.71,61.6,50.24,-5.57,-17.52,50.24,76.1,68.06,0.66,0.1,63.21,66.47,67.64,-56.5,4.56,45.9,,,,,,-17.4,"14,636",-34.56,-5.47,"867,044",0.28,1.01,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#F87171,#F87171,#FFFFFF,#10B981,#10B981
185,AVDL,Avadel Pharmaceuticals plc,14.66,52.29,47.84,-3.25,-5.48,47.46,83.92,65.95,1.32,9.58,60.39,63.97,85.54,45.62,38.12,63.47,,,63.47,,,-37.7,"1,818",37.52,31.64,"43,277",0.25,1.8,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#10B981,#10B981,#FFFFFF,#10B981,#10B981
246,CMI,Cummins Inc.,392.13,22.78,25.99,-14.45,-20.08,23.52,38.53,33.02,19.87,8.76,31.73,29.84,30.41,-29.51,-42.48,31.24,,14.73,,,,-4.42,"5,592",0.04,-4.51,"15,299",0.2,1.91,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#FFFFFF,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#10B981,#F87171,#FFFFFF,#10B981,#10B981
106,LAC,Lithium Americas Corp.,2.86,61.81,56.7,-7.31,-11.21,56.7,76.18,63.11,0.77,6.74,60.05,69.18,105.98,36.62,7.66,115.55,,2.82,,,,-49.29,"2,889",-20.94,-36.62,"175,339",0.76,2.12,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#FFFFFF,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#F87171,#F87171,#FFFFFF,#10B981,#10B981
208,CMPO,"CompoSecure, Inc.",18.92,66.88,43.52,-3.41,-6.57,34.28,49.42,44.96,27.81,33.23,47.27,45.3,72.74,53.97,77.45,46.59,,,,,,-29.22,"2,152",4.82,-17.86,"31,873",-1.23,-1.66,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#10B981,#F87171,#FFFFFF,#F87171,#F87171
338,INN,"Summit Hotel Properties, Inc.",5.46,42.99,43.34,-11.06,-18.41,27.63,60.2,47.52,31.79,36.6,48.78,44.62,68.02,58.91,94.09,39.59,,,,,,-24.67,282,1.08,2.17,"1,219",-0.33,-1.3,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#10B981,#10B981,#FFFFFF,#F87171,#F87171
359,HOPE,"Hope Bancorp, Inc.",11.1,27.8,29.51,-4.5,-6.13,28.1,36.67,33.02,2.65,3.07,31.1,32.77,99.44,3.26,-20.11,28.52,,,,,,-69.93,17,0.0,0.0,295,0.34,0.34,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981
227,ASRT,"Assertio Holdings, Inc.",0.81,56.87,47.72,-3.21,-10.13,47.72,64.61,54.99,0.66,5.41,50.6,56.88,171.73,6.39,11.01,90.88,,,,,,-124.0,223,-13.9,31.18,"21,119",0.06,0.65,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#F87171,#10B981,#FFFFFF,#10B981,#10B981
310,VERX,"Vertex, Inc.",24.25,67.51,47.44,-4.13,-4.07,35.01,56.16,50.28,21.19,32.76,52.3,49.41,51.11,-9.44,7.24,49.3,,,49.3,,-3.16,-3.67,635,9.48,-16.99,"3,558",4.92,5.39,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#10B981,#F87171,#FFFFFF,#10B981,#10B981
300,FRT,Federal Realty Investment Trust,100.07,21.31,20.97,-13.16,-19.24,18.21,30.99,26.4,16.56,9.81,26.34,23.63,30.38,-30.19,-12.81,20.12,,5.11,20.12,4.52,,-9.41,190,-0.52,12.43,"4,374",-0.11,3.33,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#FFFFFF,#10B981,#FFFFFF,#10B981,#FFFFFF,#F87171,#FFFFFF,#F87171,#10B981,#FFFFFF,#F87171,#10B981
35,RIG,Transocean Ltd.,2.99,51.02,59.91,-2.22,-18.38,45.39,79.95,66.8,31.13,29.93,66.77,62.78,83.23,19.24,24.04,65.79,,-3.32,,,,-23.32,"18,015",12.35,-4.13,"824,898",0.47,1.28,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#10B981,#F87171,#FFFFFF,#10B981,#10B981
62,GEO,"GEO Group, Inc. (The)",21.03,54.39,48.27,-2.36,-5.31,48.1,80.08,60.2,0.66,14.68,50.85,61.95,82.27,18.27,28.19,60.59,,,,,,-34.0,"14,031",-30.12,8.97,"414,622",-1.14,-1.33,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#F87171,#10B981,#FFFFFF,#F87171,#F87171
262,PODD,Insulet Corporation,343.53,33.0,41.66,-2.54,-5.99,24.71,46.94,38.48,47.68,65.09,39.0,35.8,42.38,38.56,-23.6,34.1,,,,,,-0.72,"1,945",1.51,-7.12,"11,516",-0.1,7.74,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#10B981,#F87171,#FFFFFF,#F87171,#10B981
306,EVRG,"Evergy, Inc.",71.39,14.46,17.69,0.17,-9.4,13.84,20.1,17.64,47.02,50.75,17.66,16.49,18.46,-30.7,-39.89,14.21,,,14.21,,-51.21,-0.77,530,-7.5,3.52,"3,696",9.48,17.18,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#F87171,#10B981,#FFFFFF,#10B981,#10B981
322,BTSG,"BrightSpring Health Services, Inc.",24.08,41.7,45.02,-5.06,-7.39,45.02,51.95,49.9,0.0,0.08,48.58,46.84,49.41,-20.57,-3.21,50.54,,,,,,-4.39,158,-4.24,-8.67,"2,469",0.0,0.28,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#F87171,#F87171,#FFFFFF,#FFFFFF,#10B981
