Rank,Ticker,Company Name,Latest Close,Realised Volatility 30d (%),Realised Volatility 100d (%),Realised Volatility 100d 1d (%),Realised Volatility 100d 1w (%),Min Realised Volatility 100d (2y),Max Realised Volatility 100d (2y),Mean Realised Volatility 100d (2y),Rvol 100d Percentile 2y (%),Rvol 100d Z-Score Percentile 2y (%),Realised Volatility 180d (%),Realised Volatility 252d (%),Weighted IV (%),Weighted IV 1d (%),Weighted IV 1w (%),Weighted IV 3m (%),Weighted IV 3m 1d (%),Weighted IV 3m 1w (%),ATM IV 3m (%),ATM IV 3m 1d (%),ATM IV 3m 1w (%),Rvol100d - Weighted IV,Volume,Volume 1d (%),Volume 1w (%),Open Interest,OI 1d (%),OI 1w (%),Num Contracts,Latest Close_Color,Realised Volatility 30d (%)_Color,Realised Volatility 100d (%)_Color,Realised Volatility 100d 1d (%)_Color,Realised Volatility 100d 1w (%)_Color,Min Realised Volatility 100d (2y)_Color,Max Realised Volatility 100d (2y)_Color,Mean Realised Volatility 100d (2y)_Color,Rvol 100d Percentile 2y (%)_Color,Rvol 100d Z-Score Percentile 2y (%)_Color,Realised Volatility 180d (%)_Color,Realised Volatility 252d (%)_Color,Weighted IV (%)_Color,Weighted IV 1d (%)_Color,Weighted IV 1w (%)_Color,Weighted IV 3m (%)_Color,Weighted IV 3m 1d (%)_Color,Weighted IV 3m 1w (%)_Color,ATM IV 3m (%)_Color,ATM IV 3m 1d (%)_Color,ATM IV 3m 1w (%)_Color,Rvol100d - Weighted IV_Color,Volume_Color,Volume 1d (%)_Color,Volume 1w (%)_Color,Open Interest_Color,OI 1d (%)_Color,OI 1w (%)_Color,Num Contracts_Color
357,AORT,"Artivion, Inc.",39.56,72.8,49.81,0.5,1.48,24.52,51.55,34.94,95.26,98.35,43.89,39.58,68.35,-63.22,-1.92,,,,,,,-18.54,106,0.0,0.0,505,0.0,-2.32,17,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#FFFFFF
305,ZD,"Ziff Davis, Inc.",38.27,71.39,54.1,0.5,1.47,29.12,60.96,40.97,95.01,95.48,51.99,49.35,138.41,94.41,69.59,76.07,25.25,13.57,19.35,-60.83,-60.51,-84.31,738,15.86,-18.81,"4,933",0.14,1.46,36,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#10B981,#10B981,#FFFFFF,#F87171,#F87171,#F87171,#FFFFFF,#10B981,#F87171,#FFFFFF,#10B981,#10B981,#FFFFFF
31,RUN,Sunrun Inc.,16.24,133.44,157.73,0.5,0.19,74.04,161.84,99.65,95.01,99.09,130.43,120.6,115.32,26.07,-7.22,90.04,2.76,-5.54,85.73,0.09,-12.67,42.41,"32,797",16.94,17.17,"1,038,664",0.49,-2.64,366,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#F87171,#FFFFFF,#10B981,#F87171,#FFFFFF,#10B981,#F87171,#10B981,#FFFFFF,#10B981,#10B981,#FFFFFF,#10B981,#F87171,#FFFFFF
211,DAY,"Dayforce, Inc.",69.07,71.58,49.57,0.5,-1.15,28.84,57.91,38.14,94.76,96.7,47.68,43.55,38.16,-50.08,20.03,19.36,15.86,0.51,4.89,,-2.29,11.41,"2,680",236.68,285.06,"33,901",0.06,0.43,50,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#10B981,#FFFFFF,#10B981,#10B981,#FFFFFF,#FFFFFF,#F87171,#10B981,#FFFFFF,#10B981,#10B981,#FFFFFF,#10B981,#10B981,#FFFFFF
151,DDD,3D Systems Corporation,2.33,110.37,106.97,0.5,0.64,61.21,111.2,87.75,94.51,92.51,101.25,99.23,107.47,2.76,3.73,,,,87.89,12.1,-5.26,-0.49,"2,495",9.24,13.25,"88,523",-0.19,0.75,58,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#F87171,#F87171,#FFFFFF,#10B981,#10B981,#FFFFFF,#F87171,#10B981,#FFFFFF
93,SABR,Sabre Corporation,1.86,135.38,88.95,0.5,1.59,50.55,104.24,71.16,93.77,90.98,86.88,81.45,110.43,3.75,14.86,94.37,-1.8,2.09,79.13,0.71,,-21.48,"22,268",1.44,99.55,"254,213",0.38,7.36,87,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#F87171,#10B981,#FFFFFF,#10B981,#FFFFFF,#F87171,#FFFFFF,#10B981,#10B981,#FFFFFF,#10B981,#10B981,#FFFFFF
255,LNTH,"Lantheus Holdings, Inc.",51.98,107.44,76.95,0.5,1.25,43.09,78.1,61.76,93.52,94.21,66.48,64.09,76.56,3.63,8.01,62.16,1.73,0.41,54.42,10.11,-1.21,0.38,"2,617",32.51,44.75,"15,380",-0.42,4.85,170,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#10B981,#10B981,#FFFFFF,#10B981,#F87171,#10B981,#FFFFFF,#10B981,#10B981,#FFFFFF,#F87171,#10B981,#FFFFFF
245,HAE,Haemonetics Corporation,51.02,92.85,55.84,0.5,0.04,25.21,59.07,35.25,93.27,99.49,50.6,46.73,88.12,26.4,40.95,43.61,2.3,-10.01,38.4,-17.53,-5.85,-32.28,"6,011",80.29,440.56,"17,188",1.16,3.15,48,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#10B981,#F87171,#FFFFFF,#F87171,#F87171,#F87171,#FFFFFF,#10B981,#10B981,#FFFFFF,#10B981,#10B981,#FFFFFF
322,WK,Workiva Inc.,79.16,44.35,58.1,0.5,0.1,26.38,64.01,39.6,93.27,96.9,56.66,50.75,64.35,14.94,-14.11,47.73,-2.56,-12.37,39.01,0.51,31.35,-6.25,397,1.79,34.12,"2,975",0.37,1.09,50,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#F87171,#FFFFFF,#F87171,#F87171,#FFFFFF,#10B981,#10B981,#F87171,#FFFFFF,#10B981,#10B981,#FFFFFF,#10B981,#10B981,#FFFFFF
218,BLMN,"Bloomin' Brands, Inc.",6.8,117.89,90.5,0.5,-0.47,28.95,98.44,54.03,92.77,95.69,84.85,77.09,490.58,-12.41,551.23,509.6,,635.74,,,,-400.08,"1,921",8.9,46.19,"31,087",-3.5,-1.42,44,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#10B981,#FFFFFF,#FFFFFF,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#10B981,#10B981,#FFFFFF,#F87171,#F87171,#FFFFFF
220,NEO,NeoGames S.A.,7.99,80.49,98.71,0.5,2.38,40.89,107.12,66.95,92.52,94.04,93.98,82.41,80.31,-18.42,4.72,76.25,3.21,1.88,61.08,-1.44,1.2,18.4,"3,827",19.04,24.5,"28,739",-0.05,5.14,51,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#10B981,#FFFFFF,#10B981,#10B981,#FFFFFF,#F87171,#10B981,#10B981,#FFFFFF,#10B981,#10B981,#FFFFFF,#F87171,#10B981,#FFFFFF
225,RNG,"RingCentral, Inc.",31.21,82.07,54.3,0.5,0.06,39.07,60.78,46.02,92.52,95.94,51.42,48.48,90.09,4.06,53.75,56.58,-2.88,8.08,45.1,2.3,-6.06,-35.79,"2,802",17.78,43.99,"26,110",0.81,2.86,78,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#F87171,#10B981,#FFFFFF,#10B981,#F87171,#F87171,#FFFFFF,#10B981,#10B981,#FFFFFF,#10B981,#10B981,#FFFFFF
108,FLR,Fluor Corporation,40.79,35.94,64.63,0.5,0.11,27.36,71.26,43.41,92.27,96.6,61.68,57.18,61.99,4.67,15.2,,,,53.14,-7.54,-4.29,2.64,"11,290",-3.86,94.02,"177,941",-0.79,5.11,172,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#10B981,#FFFFFF,#F87171,#10B981,#FFFFFF,#F87171,#10B981,#FFFFFF
98,XRX,Xerox Holdings Corporation,3.75,40.91,77.68,0.5,0.19,36.03,89.05,53.17,92.02,95.85,71.81,67.72,273.5,-12.15,180.73,,,,,,,-195.82,"2,074",43.93,-5.3,"217,999",0.21,0.66,51,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#10B981,#F87171,#FFFFFF,#10B981,#10B981,#FFFFFF
21,WOLF,"Wolfspeed, Inc.",2.47,191.58,295.51,0.5,3.23,69.77,308.23,147.19,91.77,97.4,251.19,228.78,359.38,16.01,35.64,247.4,-11.71,-11.49,100.74,-13.54,-76.47,-63.88,"143,552",-64.85,4.13,"1,712,713",11.19,38.84,167,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#F87171,#F87171,#FFFFFF,#F87171,#F87171,#F87171,#FFFFFF,#F87171,#10B981,#FFFFFF,#10B981,#10B981,#FFFFFF
272,GWRE,"Guidewire Software, Inc.",246.4,58.08,42.75,0.5,-1.5,22.38,46.45,35.0,91.27,87.59,42.6,40.08,44.68,-10.09,-17.32,43.3,-4.67,-12.59,40.12,3.69,18.2,-1.93,"1,409",-39.73,-66.52,"12,042",-1.12,8.85,149,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#F87171,#F87171,#FFFFFF,#10B981,#10B981,#F87171,#FFFFFF,#F87171,#F87171,#FFFFFF,#F87171,#10B981,#FFFFFF
282,ENOV,Enovis Corporation,33.32,44.85,53.57,0.5,0.72,25.37,59.65,36.53,90.77,95.76,50.21,46.0,66.85,-11.84,-1.07,61.84,-4.15,-2.54,54.57,-11.3,-27.01,-13.28,425,2.16,17.08,"8,917",0.06,1.56,35,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#F87171,#F87171,#FFFFFF,#F87171,#F87171,#F87171,#FFFFFF,#10B981,#10B981,#FFFFFF,#10B981,#10B981,#FFFFFF
122,CHGG,"Chegg, Inc.",1.5,109.21,111.45,0.5,1.44,39.21,122.32,88.5,90.27,85.62,112.45,106.06,164.25,15.24,16.79,120.84,-21.5,-9.42,115.09,-3.88,-8.5,-52.8,"3,656",-13.92,-73.14,"125,670",1.46,-0.66,48,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#F87171,#F87171,#FFFFFF,#F87171,#F87171,#F87171,#FFFFFF,#F87171,#F87171,#FFFFFF,#10B981,#F87171,#FFFFFF
94,SRPT,"Sarepta Therapeutics, Inc.",18.1,68.31,147.31,0.5,0.31,29.38,157.81,70.69,89.78,98.08,121.87,105.44,127.88,15.59,19.37,,,,105.19,-0.89,-4.87,19.43,"15,311",-23.56,13.17,"251,637",0.45,1.31,195,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#10B981,#FFFFFF,#F87171,#10B981,#FFFFFF,#10B981,#10B981,#FFFFFF
146,CHTR,"Charter Communications, Inc.",261.08,21.88,46.39,0.5,-1.76,28.46,52.19,40.31,89.28,90.02,42.64,41.94,63.87,-2.31,13.57,64.3,-4.37,1.94,53.26,11.28,22.58,-17.48,"18,191",0.06,11.48,"92,497",1.69,3.17,470,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#10B981,#FFFFFF,#F87171,#10B981,#FFFFFF,#10B981,#10B981,#F87171,#FFFFFF,#10B981,#10B981,#FFFFFF,#10B981,#10B981,#FFFFFF
53,MP,MP Materials Corp.,65.98,47.8,98.14,0.5,-2.25,51.54,111.58,67.4,88.78,96.21,90.74,83.06,102.89,8.4,23.8,75.12,1.37,-5.81,70.61,-3.59,2.1,-4.75,"51,412",1.52,24.22,"589,229",0.59,0.44,606,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#10B981,#F87171,#FFFFFF,#F87171,#10B981,#F87171,#FFFFFF,#10B981,#10B981,#FFFFFF,#10B981,#10B981,#FFFFFF
339,AMPH,"Amphastar Pharmaceuticals, Inc.",27.0,64.43,45.76,0.5,1.06,26.91,50.05,40.39,88.53,88.12,43.98,43.06,114.42,19.29,47.89,77.61,3.55,6.93,40.12,-10.57,-12.1,-68.66,164,0.0,1.86,"1,470",0.07,0.82,27,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#10B981,#10B981,#FFFFFF,#F87171,#F87171,#F87171,#FFFFFF,#FFFFFF,#10B981,#FFFFFF,#10B981,#10B981,#FFFFFF
275,MTH,Meritage Homes Corporation,76.31,40.24,40.92,0.5,-0.74,32.77,45.35,38.35,88.28,83.5,40.46,39.38,170.89,-13.03,253.95,176.3,-3.53,296.11,,,,-129.96,"11,516",1.79,1055.07,"11,512",1.33,2.04,62,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#10B981,#FFFFFF,#F87171,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#10B981,#10B981,#FFFFFF,#10B981,#10B981,#FFFFFF
295,SPB,"Spectrum Brands, Inc.",52.99,42.39,38.54,0.5,0.64,21.17,42.99,30.84,88.03,92.6,37.11,33.66,265.86,48.85,422.09,,,,,,,-227.32,786,0.0,1.03,"6,753",0.0,0.25,36,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#FFFFFF,#10B981,#FFFFFF,#FFFFFF,#10B981,#FFFFFF
303,PAR,PAR Technology Corporation,42.42,73.03,49.8,0.5,0.38,35.93,56.66,44.58,87.53,88.78,51.18,48.39,67.74,-5.53,-18.93,95.9,8.53,-7.89,48.29,-17.89,1.63,-17.94,935,13.61,53.53,"5,092",5.21,18.45,55,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#10B981,#F87171,#FFFFFF,#F87171,#10B981,#F87171,#FFFFFF,#10B981,#10B981,#FFFFFF,#10B981,#10B981,#FFFFFF
268,MIDD,Middleby Corporation,134.69,72.42,46.26,0.5,0.33,23.82,55.44,34.06,86.28,92.67,47.34,43.12,131.68,32.34,121.82,50.9,1.67,9.37,34.38,-1.74,3.38,-85.41,"3,487",0.17,-0.17,"12,618",0.34,0.44,63,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#10B981,#10B981,#FFFFFF,#F87171,#10B981,#F87171,#FFFFFF,#10B981,#F87171,#FFFFFF,#10B981,#10B981,#FFFFFF
353,IIIV,"i3 Verticals, Inc.",31.07,44.03,38.6,0.5,0.56,32.03,40.57,36.47,85.79,87.76,37.09,36.43,68.26,13.74,19.49,,,,,,,-29.66,33,0.0,0.0,730,0.0,0.0,14,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
