Ticker,Latest Close ($),Open ($),Low ($),High ($),Daily Volume,Close 1d (%),Close 1w (%),Realised Volatility 100d (%),Weighted IV (%),Weighted IV 1d (%),Weighted IV 1w (%),Volume 1d (%),Volume 1w (%),Open Interest,OI 1d (%),OI 1w (%),ATM 12m/3m Ratio,Volume Rank,Open Interest Rank
NEO,8.11,7.98,7.89,8.45,"3,339",0.0,-2.76,98.7,68.57,-14.62,-35.46,-12.75,-10.27,"28,541",-0.69,5.78,,200 of 371,220 of 371
FLR,40.34,40.88,39.86,41.19,"22,585",0.0,-2.35,64.46,59.97,-3.26,8.58,100.04,311.08,"184,832",3.87,8.19,0.9571,87 of 371,107 of 371
WOLF,2.72,2.68,2.57,2.84,"234,178",0.0,44.68,294.17,312.95,-12.92,23.91,63.13,34.64,"1,731,944",1.12,35.12,0.6957,17 of 371,21 of 371
CHGG,1.41,1.5,1.38,1.5,"3,859",0.0,-11.88,112.01,146.59,-10.75,10.75,5.55,-71.77,"126,831",0.92,0.19,0.8471,185 of 371,126 of 371
CHTR,268.02,261.57,261.4,274.64,"63,752",0.0,1.55,46.61,53.42,-16.36,-5.42,250.46,81.2,"93,648",1.24,3.67,1.0419,41 of 371,147 of 371
ENOV,32.13,33.09,32.06,33.84,433,0.0,1.74,53.51,65.35,-2.24,-3.6,1.88,14.85,"8,915",-0.02,1.55,0.9563,318 of 371,282 of 371
SRPT,17.05,18.0,17.05,18.14,"23,123",0.0,-4.8,147.29,109.95,-14.02,7.19,51.02,62.15,"252,327",0.27,1.12,0.9327,83 of 371,94 of 371
RNG,31.54,31.23,31.13,32.38,"2,774",0.0,0.9,53.49,51.36,-42.99,-11.26,-1.0,37.46,"26,161",0.2,1.4,1.555,215 of 371,224 of 371
AMPH,26.98,27.13,26.57,27.9,164,0.0,-5.93,45.65,67.3,-41.18,-52.54,0.0,0.0,"1,473",0.2,0.68,,350 of 371,338 of 371
MTH,75.46,76.7,74.72,80.0,"11,864",0.0,-6.91,40.94,176.48,3.27,308.12,3.02,1115.57,"11,799",2.49,3.84,,119 of 371,274 of 371
MP,66.81,68.0,65.25,69.1,"80,387",0.0,6.0,96.32,75.54,-26.58,-9.32,56.36,44.59,"594,814",0.95,12.21,0.9719,35 of 371,53 of 371
SPB,52.76,53.1,52.74,55.12,785,0.0,-3.9,38.54,211.8,-20.34,377.82,-0.13,1.03,"6,760",0.1,0.39,,284 of 371,295 of 371
MODG,9.16,9.65,9.15,9.85,975,0.0,-5.27,70.72,72.12,-2.69,5.2,6.32,97.37,"42,525",0.76,1.16,0.8939,272 of 371,196 of 371
GWRE,246.94,246.53,244.3,250.4,"1,173",0.0,-2.47,42.51,45.39,1.6,-22.5,-16.75,-33.24,"11,891",-1.25,2.08,0.9831,266 of 371,273 of 371
IIIV,30.5,30.93,29.87,30.98,33,0.0,-2.09,38.74,56.97,-16.55,-50.16,0.0,0.0,730,0.0,0.69,,360 of 371,353 of 371
MIDD,133.95,134.64,132.89,137.99,"3,486",0.0,-3.48,45.98,43.7,-66.82,-29.77,-0.03,-0.49,"12,620",0.02,0.6,,196 of 371,267 of 371
GMED,56.22,57.78,56.07,58.35,"1,438",0.0,-5.7,53.24,38.02,-51.83,-40.06,0.7,-14.86,"12,207",0.15,1.24,,250 of 371,271 of 371
TVTX,23.65,23.15,22.65,23.76,"1,327",0.0,-5.4,72.4,65.63,-11.62,-4.25,14.89,-64.36,"61,510",0.1,19.49,0.7612,252 of 371,176 of 371
NSIT,119.42,120.34,118.74,122.24,685,0.0,-7.58,42.78,50.12,-24.29,0.98,0.0,0.0,"1,448",0.0,1.4,,291 of 371,339 of 371
ENPH,38.72,39.12,38.12,40.86,"65,921",0.0,3.75,85.48,75.67,-17.25,2.23,6.01,23.9,"546,140",1.06,5.6,1.0405,40 of 371,56 of 371
SEDG,34.11,33.19,32.88,35.73,"20,978",0.0,15.67,125.17,97.15,-22.39,-4.31,-2.46,92.94,"375,006",1.72,2.47,0.9106,90 of 371,73 of 371
PAR,42.83,42.66,41.68,43.74,"1,265",0.0,-6.34,49.46,64.47,-4.83,2.73,35.29,111.19,"5,498",7.97,28.22,0.2051,259 of 371,301 of 371
CFLT,19.58,19.62,19.31,20.0,"22,782",0.0,0.67,80.9,67.89,-3.18,9.41,76.33,23.89,"348,915",0.02,1.27,0.8834,84 of 371,80 of 371
BOX,32.74,32.69,32.56,33.01,"2,830",0.0,-0.79,31.95,31.99,-30.43,-14.07,-13.72,18.66,"66,550",-0.47,4.29,1.07,212 of 371,171 of 371
LCID,20.36,19.65,19.44,21.4,"92,718",0.0,2.31,82.5,83.34,-15.8,-6.36,-34.16,-32.53,"3,040,740",0.34,-1.45,1.047,30 of 371,9 of 371
CYTK,47.56,49.62,47.45,51.71,"2,799",0.0,-10.8,73.12,68.58,-16.43,-7.21,-43.99,-7.78,"96,394",1.66,5.03,0.7723,214 of 371,143 of 371
IART,14.8,14.83,14.75,15.69,121,0.0,-4.33,67.35,102.02,-29.38,2.95,-8.33,10.0,941,0.43,0.64,,353 of 371,351 of 371
DOCN,36.25,36.45,35.79,37.47,"4,974",0.0,-0.85,67.6,59.56,-24.26,-10.51,61.02,-2.95,"100,611",0.47,1.68,0.8991,165 of 371,139 of 371
PLUG,2.0,1.7,1.69,2.02,"253,349",0.0,32.45,118.46,114.25,-13.42,-2.46,-40.6,650.51,"1,257,492",11.1,17.32,0.8685,14 of 371,26 of 371
DVAX,9.57,9.75,9.53,9.77,"2,898",0.0,-1.75,39.35,58.11,-37.6,-31.23,-4.45,-12.08,"12,520",-1.49,3.2,,211 of 371,268 of 371
WIX,180.99,178.38,177.2,182.76,"15,230",0.0,6.81,49.42,49.66,-33.95,-26.77,20.57,135.25,"57,034",-2.16,14.84,1.0725,110 of 371,182 of 371
HALO,75.81,75.7,75.52,76.61,"1,292",0.0,-2.22,58.58,40.41,6.73,-36.84,6.51,3.44,"20,350",0.68,3.63,,254 of 371,240 of 371
FARO,43.99,43.99,43.99,43.99,N/A,0.0,0.0,68.27,,,,,,N/A,,,,367 of 371,367 of 371
LIVN,54.53,55.23,54.03,55.73,195,0.0,-4.9,47.75,61.47,-10.37,16.74,0.0,1.04,"1,299",0.0,2.12,,342 of 371,342 of 371
RPAY,5.65,5.72,5.51,5.77,542,0.0,-4.56,54.1,59.93,-28.73,-67.6,-49.72,-72.26,"11,964",7.11,27.56,,303 of 371,272 of 371
BHR,2.97,3.0,2.96,3.11,625,0.0,-1.0,63.21,416.34,-22.41,292.9,204.88,274.25,"3,724",0.24,0.76,,296 of 371,315 of 371
PCG,15.09,15.13,15.02,15.27,"74,239",0.0,-4.07,30.82,78.62,-26.97,53.1,32.05,-19.05,"2,608,034",0.75,-3.5,2.5203,38 of 371,13 of 371
LRN,138.54,140.0,137.26,140.71,"4,879",0.0,-13.99,44.99,60.27,-43.09,2.14,28.39,262.48,"24,630",-3.99,32.63,1.0,166 of 371,226 of 371
VERI,4.1,3.8,3.76,4.19,"3,069",0.0,16.15,128.07,123.74,-18.1,-1.65,-41.17,-64.75,"43,043",-0.75,14.08,,205 of 371,193 of 371
SKIN,2.39,2.42,2.33,2.51,"2,215",0.0,-3.24,127.37,105.84,-38.5,-38.57,-1.16,317.14,"16,077",0.09,33.19,,230 of 371,251 of 371
TTGT,6.77,6.53,6.47,6.99,276,0.0,12.83,78.29,73.94,-63.55,-65.25,15.97,28.37,"1,476",-0.07,3.58,,334 of 371,337 of 371
KHC,25.73,25.92,25.67,26.25,"22,674",0.0,-2.98,25.91,220.68,-7.24,621.82,8.9,22.46,"477,866",-1.86,0.76,,86 of 371,60 of 371
WGO,33.0,33.6,32.84,34.97,934,0.0,-6.33,47.61,286.92,-2.25,305.25,-7.89,10.01,"21,084",-0.53,-0.27,,274 of 371,237 of 371
MRK,81.14,80.98,80.8,82.25,"53,292",0.0,-4.71,28.33,180.56,-1.41,428.35,0.47,27.22,"746,155",1.91,3.05,,49 of 371,44 of 371
NMFC,9.69,9.89,9.67,9.94,999,0.0,-7.8,18.34,574.07,-17.29,568.16,186.25,94.36,"1,244",-16.57,-8.46,,270 of 371,343 of 371
PRGS,41.91,42.15,41.69,43.03,"3,873",0.0,-2.56,34.32,130.57,-13.8,139.36,80.56,55.29,"48,791",0.65,3.28,,184 of 371,188 of 371
CBRL,49.59,51.03,49.21,51.49,"46,201",0.0,-4.87,58.95,155.41,-29.1,121.58,62.42,561.43,"82,063",16.53,42.77,,52 of 371,157 of 371
BTU,21.27,20.42,20.24,21.32,"41,053",0.0,14.79,55.1,176.31,-20.13,186.38,14.79,162.64,"297,469",-0.07,5.16,2.4809,57 of 371,89 of 371
HLX,6.34,6.34,6.28,6.56,314,0.0,0.0,48.87,53.73,-45.06,-32.73,-22.28,-16.93,"4,745",0.27,6.39,,329 of 371,306 of 371
KOS,1.78,1.78,1.76,1.86,"1,771",0.0,2.89,72.52,85.74,-38.88,-12.97,-4.58,-11.23,"188,928",0.18,1.05,1.0585,241 of 371,105 of 371
ARRY,7.82,7.69,7.63,8.1,"4,040",0.0,-0.38,92.66,87.05,-12.83,-3.22,36.12,40.72,"99,878",0.11,1.49,0.9366,177 of 371,140 of 371
NOG,25.87,25.64,25.62,26.81,"4,171",0.0,0.43,45.99,391.46,10.53,513.41,25.97,26.24,"39,121",0.5,4.3,,175 of 371,205 of 371
GPRE,9.61,10.41,9.59,10.62,"6,198",0.0,-1.64,74.42,73.48,-10.6,-6.14,37.58,-8.85,"104,292",0.18,2.62,0.8925,156 of 371,137 of 371
NBR,40.51,41.21,39.97,42.31,"1,216",0.0,-4.68,72.4,86.09,-2.81,0.38,23.08,17.26,"16,315",0.36,0.19,0.965,261 of 371,249 of 371
VREX,11.6,11.62,11.48,11.89,205,0.0,0.87,68.49,119.28,-22.83,0.05,0.0,-3.76,887,0.0,0.34,,340 of 371,352 of 371
ATI,78.44,79.93,77.26,80.51,"3,522",0.0,3.24,46.75,57.42,-3.74,12.58,-1.76,-2.81,"32,581",0.48,2.32,0.9244,193 of 371,215 of 371
PEP,141.23,140.3,140.15,142.04,"20,817",0.0,-2.08,22.07,177.91,7.64,585.17,-9.36,-23.49,"560,992",0.58,8.77,,91 of 371,55 of 371
EVH,8.54,8.64,8.43,8.84,"2,917",0.0,-8.27,72.0,103.23,-53.94,-10.13,0.41,39.84,"11,491",-0.25,4.05,0.8891,210 of 371,276 of 371
INN,5.78,5.89,5.74,5.97,285,0.0,0.52,41.68,426.32,36.13,463.59,0.0,1.79,"1,229",-0.57,-0.49,,333 of 371,344 of 371
NRG,164.58,165.38,162.3,167.08,"6,224",0.0,4.22,53.09,147.89,-13.6,173.25,25.01,-12.83,"85,297",0.51,7.71,0.9995,154 of 371,153 of 371
PR,13.56,13.32,13.24,13.74,"3,168",0.0,-2.8,35.83,318.63,0.07,556.72,-41.68,100.63,"111,191",2.32,9.78,,204 of 371,133 of 371
VSH,15.18,15.25,14.95,15.64,552,0.0,-2.06,50.76,185.21,12.05,247.34,25.45,40.46,"8,686",-0.17,0.09,,302 of 371,285 of 371
RIG,3.4,3.45,3.38,3.57,"16,650",0.0,4.29,55.72,63.27,4.65,-2.44,-44.02,12.43,"842,793",0.04,0.09,0.9693,105 of 371,37 of 371
STX,213.36,210.4,206.32,214.21,"19,112",0.0,8.41,36.59,211.05,-10.84,320.89,9.42,6.07,"174,874",1.02,8.57,24.3155,99 of 371,111 of 371
JAZZ,129.54,126.67,126.5,130.87,894,0.0,0.84,33.88,49.36,-34.03,-27.79,6.81,-17.45,"13,188",0.27,10.07,0.0971,276 of 371,264 of 371
AAL,12.48,12.43,12.36,12.82,"170,142",0.0,-3.63,48.69,50.71,-24.76,-16.55,-21.84,-18.98,"3,275,363",0.33,2.27,1.001,21 of 371,8 of 371
HCAT,2.81,2.89,2.79,3.01,205,0.0,-13.27,72.18,87.45,-51.45,-22.95,4.06,-69.94,"7,927",0.06,0.43,,340 of 371,289 of 371
MDB,315.38,327.93,306.5,329.0,"33,754",0.0,-5.03,67.28,54.76,-36.16,-11.31,3.69,48.87,"300,453",1.65,0.95,0.5479,66 of 371,88 of 371
CNMD,50.48,53.01,50.21,53.58,167,0.0,-6.6,44.56,149.78,-23.54,147.78,-2.34,-1.76,975,0.1,0.93,,348 of 371,349 of 371
IDCC,327.17,324.79,323.47,330.64,"1,223",0.0,0.71,33.38,130.3,-19.1,139.59,-7.0,8.52,"5,844",0.36,13.41,3.0326,260 of 371,300 of 371
GES,16.7,16.7,16.69,16.8,"5,910",0.0,-0.3,53.24,318.71,-18.38,273.03,0.25,-28.07,"69,313",0.01,0.11,,159 of 371,167 of 371
PEB,11.8,11.76,11.52,12.09,82,0.0,-0.08,39.32,91.67,-55.1,24.22,1.23,41.38,964,2.77,-0.52,,357 of 371,350 of 371
GPN,85.35,84.3,84.44,86.92,"4,344",0.0,-1.53,33.28,151.84,3.49,278.14,27.46,17.6,"122,409",0.14,0.69,,169 of 371,128 of 371
TWO,10.03,9.98,9.96,10.19,"1,136",0.0,-0.2,28.43,617.81,-14.42,843.92,-23.4,-34.41,"22,129",0.8,1.51,,267 of 371,232 of 371
CYBR,480.15,478.02,474.23,482.76,"2,435",0.0,1.9,34.16,36.91,-7.94,0.09,40.26,11.04,"13,333",0.46,3.35,0.9698,219 of 371,263 of 371
GOSS,2.99,3.37,2.93,3.37,"8,606",0.0,-13.58,90.8,122.31,-16.3,-30.13,-20.12,-62.03,"131,652",6.35,43.0,,139 of 371,121 of 371
FRPT,53.42,53.77,53.35,55.89,"11,286",0.0,0.41,48.11,67.17,-30.16,0.26,66.34,189.68,"41,629",2.16,8.3,0.9196,121 of 371,198 of 371
EZPW,17.07,17.21,17.05,17.49,"2,040",0.0,0.47,30.7,35.3,-65.31,-54.58,13.65,24.39,"17,372",1.18,15.75,,233 of 371,246 of 371
SPOT,707.19,706.23,689.0,710.2,"29,853",0.0,2.45,42.47,48.34,5.66,-1.29,66.47,3.44,"159,213",1.37,5.29,1.0134,71 of 371,116 of 371
ECPG,44.65,44.49,44.47,46.27,262,0.0,0.79,46.78,60.28,-48.32,-49.53,2.34,16.96,"1,322",-0.45,19.1,,336 of 371,341 of 371
IRWD,1.28,1.31,1.28,1.35,495,0.0,3.23,108.47,104.84,-38.42,-35.95,13.27,-20.8,"3,868",0.03,36.2,,306 of 371,312 of 371
BABA,166.17,166.0,163.26,167.32,"285,694",0.0,6.9,43.16,111.54,-15.93,130.26,-26.51,-58.47,"1,909,750",2.71,10.13,2.8371,13 of 371,20 of 371
SLB,34.79,35.02,34.47,35.67,"47,334",0.0,-3.44,30.04,201.72,5.56,440.81,15.06,150.87,"782,408",0.6,2.46,,50 of 371,42 of 371
GBX,45.43,46.59,45.37,46.99,570,0.0,-3.73,40.81,206.15,-5.45,243.72,-5.63,-23.39,"3,864",-0.39,1.87,,300 of 371,313 of 371
V,346.2,339.94,339.52,346.2,"37,219",0.0,0.79,19.5,87.53,-7.7,231.96,20.12,47.44,"393,828",1.14,1.62,3.6004,62 of 371,70 of 371
HUBS,507.3,506.05,502.45,517.08,"4,336",0.0,2.12,41.25,51.89,-4.57,-1.45,7.75,14.14,"20,519",-0.35,3.68,0.996,170 of 371,239 of 371
ON,49.8,49.59,49.03,51.6,"20,247",0.0,1.59,54.12,54.78,-28.13,-10.04,50.87,75.36,"355,415",0.39,3.1,0.8672,95 of 371,78 of 371
IMCR,33.42,33.58,33.37,34.47,715,0.0,-8.63,44.18,62.5,-6.53,-23.04,-3.9,7.68,"20,606",0.01,0.34,1.0016,288 of 371,238 of 371
SE,186.89,189.31,184.56,189.5,"12,346",0.0,-4.89,45.86,48.47,-28.61,0.06,-29.81,-54.21,"355,576",0.99,3.17,0.8535,118 of 371,76 of 371
MCHP,65.78,64.39,63.99,67.62,"24,391",0.0,1.17,43.0,210.79,-0.86,317.87,3.54,-12.97,"274,563",0.9,0.85,,80 of 371,91 of 371
MMSI,82.7,82.75,82.06,83.33,827,0.0,-8.33,28.57,33.39,-43.85,-26.19,2.35,2.48,"1,157",0.0,-0.17,0.9773,281 of 371,345 of 371
EEFT,88.82,89.8,88.24,90.88,483,0.0,-2.76,27.81,35.94,-7.48,-5.93,27.11,44.18,"5,052",-2.6,4.32,0.9762,307 of 371,304 of 371
SPHR,61.43,59.25,59.4,62.36,"5,084",0.0,7.85,51.03,71.05,-41.05,20.95,-44.38,-75.17,"71,782",1.45,31.79,0.8634,163 of 371,164 of 371
INSM,144.78,145.9,143.76,146.5,"10,583",0.0,-0.69,52.81,50.26,-20.77,9.3,241.06,145.32,"106,378",0.08,0.77,1.0549,126 of 371,135 of 371
KRG,22.03,22.16,22.0,22.49,193,0.0,-3.08,23.18,239.58,63.84,361.34,-13.06,15.57,608,5.37,21.12,,343 of 371,355 of 371
XYZ,75.71,75.88,74.53,77.25,"87,077",0.0,1.99,54.58,47.99,-11.72,-0.35,91.42,174.66,"710,085",0.73,2.05,1.0262,32 of 371,46 of 371
JAMF,11.47,11.31,11.26,11.62,"2,607",0.0,8.72,42.58,73.09,-25.3,-27.98,11.32,264.11,"11,752",0.35,132.16,,216 of 371,275 of 371
XMTR,51.66,51.1,50.52,52.27,883,0.0,2.03,80.8,75.16,-21.82,-2.53,16.64,10.24,"12,736",0.09,1.39,1.0895,277 of 371,266 of 371
NICE,148.83,146.58,146.58,151.0,"10,265",0.0,4.34,39.16,42.12,-6.68,-2.65,-1.94,153.58,"98,227",4.5,18.93,1.1328,130 of 371,141 of 371
POST,102.88,102.87,102.46,104.15,448,0.0,-3.04,20.19,29.15,-19.04,-21.89,0.67,-3.03,"2,699",0.22,1.7,3.5794,315 of 371,326 of 371
NEE,70.31,70.28,70.1,71.01,"41,806",0.0,-1.42,27.68,187.21,2.55,532.44,-3.2,98.01,"680,720",2.76,5.17,,56 of 371,48 of 371
DBRG,11.78,12.0,11.68,12.08,"3,588",0.0,-4.31,48.16,70.49,-40.2,8.92,261.33,-35.95,"88,406",-0.15,1.02,1.7843,191 of 371,151 of 371
BE,79.67,73.75,72.35,80.71,"63,217",0.0,18.4,79.0,101.74,-12.34,-3.35,-20.11,-28.79,"731,769",2.0,10.12,0.911,45 of 371,45 of 371
NVST,20.98,21.12,20.8,21.62,226,0.0,-2.92,39.66,55.95,-40.37,-21.14,-52.82,101.79,"1,819",12.91,69.37,,337 of 371,335 of 371
PRO,15.85,15.17,14.98,16.08,"2,816",0.0,2.39,49.32,72.57,4.91,3.18,1.44,2.66,"5,988",0.62,4.81,,213 of 371,297 of 371
CSIQ,12.32,12.48,12.06,12.63,"8,736",0.0,14.29,80.26,79.0,-5.04,0.83,9.76,42.54,"83,617",1.12,2.55,0.8515,138 of 371,156 of 371
PD,15.92,15.99,15.81,16.4,"2,319",0.0,-3.98,45.6,50.34,3.0,-5.0,16.07,-13.76,"42,544",0.5,1.3,0.8588,227 of 371,195 of 371
MCS,15.9,15.94,15.82,16.15,371,0.0,-1.06,35.5,72.42,-69.8,-66.98,0.0,-10.17,572,0.0,0.18,,320 of 371,356 of 371
TTWO,250.52,248.0,245.71,251.2,"11,118",0.0,1.61,25.97,35.05,-27.16,-19.36,62.85,82.89,"97,442",0.25,0.84,1.1813,123 of 371,142 of 371
KPTI,6.08,6.23,6.02,6.4,464,0.0,-8.43,103.3,295.87,-3.79,10.27,15.42,-29.91,"22,397",0.09,1.23,,312 of 371,231 of 371
APLS,23.13,23.83,23.0,24.14,"7,169",0.0,-8.94,56.49,87.46,-34.46,3.77,-1.24,-4.53,"67,182",1.29,6.79,0.873,144 of 371,170 of 371
TEVA,18.38,18.27,18.3,18.76,"15,470",0.0,-7.59,39.8,44.77,-27.56,-8.62,-24.15,-58.42,"830,116",0.64,1.77,1.1093,108 of 371,38 of 371
U,45.57,45.92,44.62,46.03,"82,532",0.0,5.0,62.93,75.11,-15.6,-5.37,22.44,31.66,"1,094,677",0.47,0.29,0.9612,34 of 371,30 of 371
FRT,99.29,100.12,99.11,101.15,340,0.0,-2.47,20.48,251.92,12.92,605.17,-3.95,79.89,"4,923",3.66,3.71,,324 of 371,305 of 371
BTSG,27.4,26.95,26.7,27.5,339,0.0,-2.11,45.95,68.84,-26.25,-1.52,-36.16,7.62,"8,260",-1.41,1.42,,325 of 371,287 of 371
MITT,7.75,7.8,7.75,7.97,502,0.0,-0.39,30.75,622.2,17.23,1450.82,0.0,18.12,"1,959",-0.05,12.33,,305 of 371,333 of 371
UNIT,6.61,6.64,6.59,6.89,"4,303",0.0,-7.03,55.88,57.0,1.95,2.56,279.12,11.13,"39,496",0.23,3.73,0.8707,172 of 371,201 of 371
RPD,19.5,19.7,19.25,20.1,"8,459",0.0,-2.89,42.8,61.39,-28.01,-3.39,-0.08,-0.52,"43,083",0.16,4.33,0.8468,141 of 371,192 of 371
AWK,136.09,136.84,135.88,137.94,"6,201",0.0,-2.54,22.07,133.9,-17.94,317.33,479.53,1222.17,"16,919",0.53,1.56,,155 of 371,247 of 371
IBM,259.08,257.49,257.02,260.96,"68,393",0.0,0.81,23.55,187.95,2.74,492.72,126.89,172.09,"400,985",1.19,0.79,,39 of 371,68 of 371
CYRX,8.87,9.02,8.78,9.22,711,0.0,-6.34,85.71,81.16,4.68,6.64,-53.65,-65.65,"27,668",-0.65,0.48,,289 of 371,222 of 371
PODD,322.22,332.13,313.24,333.1,"3,477",0.0,-4.65,40.45,41.65,-19.49,-23.13,-0.46,160.84,"14,528",10.82,15.31,1.0221,197 of 371,257 of 371
PTCT,60.65,59.6,59.6,61.95,"2,408",0.0,-0.51,59.57,49.99,-59.91,-47.33,-25.77,51.64,"28,085",-0.02,1.93,0.8059,221 of 371,221 of 371
RKLB,48.08,47.59,46.45,48.54,"145,091",0.0,-0.72,75.91,85.91,-25.2,-5.92,15.54,-34.01,"1,053,872",2.29,10.75,0.9548,23 of 371,32 of 371
GKOS,82.1,82.49,80.53,83.62,331,0.0,-6.14,41.68,55.11,-12.09,-11.07,15.73,-82.23,"5,913",1.63,-0.61,0.6048,327 of 371,299 of 371
EQX,10.4,10.35,10.28,10.72,"20,127",0.0,-5.2,49.77,60.35,-37.16,-7.03,17.68,-11.73,"314,632",-0.66,7.17,1.0195,96 of 371,85 of 371
TRIP,18.51,18.06,17.95,18.94,"8,932",0.0,3.41,55.23,51.02,-0.3,-2.99,-2.36,-8.36,"184,941",0.51,13.66,0.9677,136 of 371,106 of 371
CHEF,67.44,65.82,65.76,68.26,"1,313",0.0,2.2,34.39,41.98,-35.8,-46.21,25.65,38.79,"3,116",-0.03,2.8,,253 of 371,320 of 371
DDOG,134.23,134.76,132.28,136.54,"32,378",0.0,-3.54,40.66,47.41,-5.44,13.78,46.91,83.85,"371,916",1.75,6.17,0.9665,68 of 371,74 of 371
PATK,106.12,107.72,105.73,109.98,177,0.0,-6.76,32.66,138.67,-15.64,210.84,-17.67,-17.67,"1,054",0.0,0.29,,346 of 371,347 of 371
NIO,7.45,7.23,7.06,7.45,"367,435",0.0,22.73,66.04,84.27,-16.56,4.06,-20.92,65.86,"4,629,310",1.48,2.72,0.9834,10 of 371,2 of 371
VNET,9.85,9.89,9.7,10.19,"6,982",0.0,8.12,91.05,95.82,-50.67,-12.38,-76.37,-70.73,"128,965",3.3,22.14,0.9225,147 of 371,123 of 371
OMER,4.06,4.02,3.94,4.22,"3,937",0.0,-3.33,110.16,185.72,-7.52,4.53,-0.63,19.56,"68,592",2.01,9.05,0.644,182 of 371,169 of 371
VAC,75.74,77.26,74.96,78.71,675,0.0,-4.67,41.15,278.7,1.3,522.08,4.17,-2.6,"3,083",0.36,-2.0,,292 of 371,321 of 371
DXCM,76.44,76.99,75.55,77.83,"15,972",0.0,0.58,42.91,45.99,-27.33,1.61,-57.83,58.3,"180,982",15.17,15.18,0.9111,106 of 371,110 of 371
