Ticker,Normalized 3m,Normalized 6m,Normalized 1y
IDCC,67.08,66.44,40.31
CNMD,99.07,108.45,140.53
SPOT,102.98,83.27,48.89
PEB,75.79,90.42,107.84
CYBR,82.07,72.05,57.89
ECPG,86.05,77.36,103.54
TWO,103.66,126.71,119.3
FRPT,139.61,165.11,264.91
ON,104.08,88.11,141.43
BABA,72.61,89.27,54.08
KPTI,66.11,101.66,166.27
CSIQ,102.41,87.48,128.94
TTWO,93.38,82.98,62.31
PI,56.91,49.25,100.38
GOSS,35.84,41.91,25.43
AMZN,92.24,86.08,81.32
SLB,99.95,112.22,107.24
GBX,95.38,114.7,96.23
NICE,116.15,101.38,114.66
TYL,104.64,101.69,105.27
EEFT,117.94,112.0,106.14
XYZ,82.94,77.08,85.77
SE,78.56,64.85,40.26
NEE,104.05,101.51,113.49
NVST,85.38,77.05,86.4
XMTR,59.57,48.98,35.06
SPHR,67.1,55.34,72.67
EQT,111.2,98.93,63.64
MMSI,103.06,109.68,106.4
INSM,67.72,52.51,50.7
MITT,90.85,90.98,85.26
DDOG,86.56,73.16,78.79
KRG,96.76,93.23,110.92
PD,86.73,110.86,104.95
JAMF,89.76,124.83,167.2
DBRG,83.83,77.5,112.34
MCS,105.75,99.7,87.78
RPD,117.13,139.39,165.74
FRT,92.52,92.32,109.46
TEVA,85.42,82.1,90.55
BTSG,75.67,62.24,50.16
U,54.52,47.86,43.57
PODD,90.14,75.59,68.19
DXCM,107.88,93.01,90.55
RH,82.9,98.66,112.44
IBM,107.14,95.35,80.07
BE,32.62,36.36,15.43
CHEF,93.15,79.5,60.39
AWK,100.72,102.16,102.92
SPCE,92.02,99.08,192.64
UNIT,95.79,115.65,122.66
VNET,59.71,127.88,31.72
EVRG,93.17,91.5,80.21
TNDM,162.31,149.88,342.14
MKSI,76.88,74.06,92.16
XOM,99.06,97.96,95.73
XIFR,87.23,86.83,238.23
CYRX,70.43,67.69,87.43
PTCT,84.09,89.4,53.64
APLS,74.13,97.09,144.8
TRIP,74.3,77.32,74.47
ABBV,86.02,94.47,85.06
GKOS,111.58,116.83,144.36
GEO,107.04,115.74,54.83
AXON,103.93,74.06,51.19
PEGA,85.04,61.89,57.22
VECO,79.71,83.81,117.28
OMER,80.95,200.48,89.05
IMCR,94.83,78.75,90.29
GVA,81.17,67.36,67.37
INDI,81.79,60.0,92.56
RKLB,52.47,38.84,14.16
PATK,78.74,74.69,75.73
AKAM,97.26,101.93,122.85
NKE,81.01,95.28,103.19
VAC,81.57,82.77,86.11
VRNT,84.37,106.88,123.19
POST,105.72,105.72,107.83
TCOM,80.16,82.49,62.64
MTN,101.29,105.31,114.76
EQX,58.71,61.44,56.7
PRO,101.94,133.14,111.18
CTO,108.56,109.85,107.47
LUV,98.9,98.9,88.99
CNX,109.16,101.94,90.41
FOUR,102.06,97.2,92.49
MSFT,94.64,77.29,84.59
VERX,151.75,138.06,146.36
BMY,103.29,121.2,96.91
HLF,84.17,86.1,77.97
FIVN,102.11,112.95,106.63
AEIS,76.93,66.47,60.02
RWT,88.69,96.76,113.08
REAL,52.77,59.68,26.6
QD,68.14,63.49,43.02
MDRX,97.83,114.13,206.74
AR,126.86,114.4,80.91
BILL,80.05,89.75,100.23
PPL,94.19,96.19,86.73
PANW,98.96,91.94,87.02
HOUS,58.59,48.6,71.81
NIO,57.83,80.72,86.99
CMI,77.34,77.43,70.85
CDLX,131.3,214.78,313.04
ALNY,65.73,51.59,55.86
XERS,56.64,62.76,37.24
BAND,83.9,90.55,99.51
SHOP,72.63,65.4,49.17
SHAK,118.99,84.14,97.91
CVX,91.19,96.95,84.15
PSEC,112.48,141.44,167.44
DIS,100.31,83.89,75.61
PSN,91.64,76.5,125.44
CMS,97.69,100.04,93.83
TTEK,99.46,80.17,126.4
OKTA,106.0,122.39,79.93
QTWO,103.58,91.72,87.1
MIRM,65.31,58.27,54.13
BYND,121.54,130.38,242.31
UPWK,84.48,76.97,56.87
ARAY,76.73,115.09,133.33
REXR,83.13,89.79,109.21
WELL,90.06,86.97,75.07
PMT,98.68,110.21,99.6
ITGR,113.5,113.11,121.05
BURL,81.94,81.83,98.58
NVCR,137.86,153.1,136.14
GTLS,72.14,74.46,55.84
RCL,73.69,60.37,46.76
NVMI,77.1,76.04,71.08
SHEL,99.73,93.54,89.2
ATEC,70.76,59.44,35.06
BMRN,100.55,124.2,150.92
MGNI,70.84,52.2,56.05
W,51.13,35.37,49.66
BBAI,76.39,72.48,31.83
HRTG,96.36,57.45,64.36
WT,71.14,60.27,65.87
TSLA,88.21,67.78,62.31
TGT,103.09,111.89,156.17
LAB,78.95,85.71,152.63
FE,91.6,89.51,96.96
MTSI,98.4,83.22,77.16
MMM,88.84,93.43,81.18
ALRM,100.14,103.41,95.49
CDP,92.53,85.7,92.66
MTCH,78.97,80.41,90.41
IRTC,79.46,55.61,41.3
CMPO,71.07,57.34,52.29
SNAP,108.92,118.52,127.85
PRCH,58.51,32.73,7.0
EYE,92.48,50.09,44.63
GRPN,144.15,63.16,46.58
ABR,84.94,98.93,104.63
RGEN,106.7,126.03,118.76
CRNC,85.76,99.08,28.59
LYV,79.38,68.52,55.88
PCT,85.2,57.85,60.11
LYFT,80.68,65.07,63.43
CAMP,55.4,199.64,
NTNX,88.92,85.64,74.91
AVGO,68.99,54.08,45.24
MGPI,102.74,108.07,290.23
DUK,94.88,96.65,91.58
VTR,91.25,94.91,90.88
MMYT,98.03,93.37,100.53
AVDL,60.34,52.52,87.96
OMCL,87.89,99.16,128.7
SSRM,55.84,47.1,25.48
LPSN,71.58,103.16,111.58
NCLH,66.0,71.23,70.64
LNT,93.73,95.8,88.17
JPM,86.29,75.24,66.13
COIN,74.92,56.53,50.28
BKD,91.81,81.61,87.25
TMDX,122.13,58.58,127.48
STWD,94.99,92.28,87.85
ENVX,102.75,95.63,116.75
SOFI,54.28,46.57,28.74
EB,87.64,82.55,108.73
INSG,50.58,70.29,130.51
TDOC,88.29,110.94,98.07
AG,80.27,64.24,55.57
AMD,74.62,64.86,96.85
WEC,95.02,95.67,83.69
CMRC,102.36,128.11,120.39
CAKE,97.53,78.61,61.77
OPK,93.01,121.68,108.39
COLL,74.71,75.42,93.52
FSLY,88.97,86.82,79.21
NVAX,83.82,96.5,143.96
JOYY,77.99,74.1,56.04
NOTV,154.17,206.94,96.53
IQ,66.03,89.69,75.95
ZTO,90.23,101.23,111.47
CNK,113.74,85.61,100.64
MITK,92.93,85.85,78.49
FUBO,76.2,76.44,43.27
HCI,85.11,75.63,52.68
SIRI,88.28,92.84,102.34
VATE,107.78,155.89,77.05
WKC,107.31,106.56,105.3
TREE,47.6,68.64,75.83
BL,98.13,90.56,89.42
UPST,83.65,78.05,58.03
EXPE,74.68,72.92,59.35
CCL,69.02,61.35,52.11
CHRS,57.29,69.17,96.99
MOMO,109.83,88.67,79.0
ABNB,110.15,99.85,95.38
CSGS,95.46,91.34,68.45
ASND,86.41,77.39,57.58
LITE,50.02,38.58,32.9
CENX,77.73,81.36,53.18
GDS,66.7,91.61,41.99
HASI,93.91,99.58,115.48
IMAX,90.79,75.76,64.76
SMTC,64.26,65.01,66.64
SENS,110.26,130.24,89.39
LCII,83.73,84.29,104.13
VIAV,74.88,89.23,68.43
PENN,77.93,85.32,91.66
NTRA,95.13,85.28,71.99
BB,105.43,117.31,63.82
JBLU,85.96,107.69,113.85
FWONK,94.69,84.16,73.72
UBER,88.65,75.57,71.92
AFRM,72.61,61.52,51.27
NET,76.55,51.7,35.11
BKNG,96.2,80.94,69.9
WB,80.18,79.4,54.59
VRNS,85.71,69.96,92.48
DBX,90.88,82.89,78.52
WDC,57.86,46.17,49.57
SPR,93.83,85.22,85.88
Z,78.83,79.06,63.45
BILI,81.88,87.69,63.03
GH,86.79,75.52,45.04
HLIT,87.45,102.77,136.46
ORA,85.77,77.94,80.27
FVRR,122.97,107.87,103.53
ZS,105.33,69.01,58.16
LAC,93.31,102.11,86.97
MAXN,77.53,93.18,217.17
PCRX,89.68,84.61,47.1
BSY,92.29,77.27,90.91
EGHT,78.38,96.4,81.08
ITRI,101.21,86.78,82.61
EXAS,95.57,80.36,120.34
F,87.52,80.47,83.91
BFH,79.05,76.42,73.06
SMCI,94.56,95.95,100.6
BA,91.06,73.55,73.99
DKNG,79.57,82.56,84.13
PTON,90.98,92.16,55.82
CNP,94.57,91.7,70.37
BBIO,75.63,62.68,51.24
CAMT,83.62,78.34,94.11
BXMT,94.6,99.56,86.32
SO,97.3,96.52,92.94
GCI,78.89,71.69,103.71
JD,95.23,121.87,75.25
ASRT,78.24,89.42,157.72
MSTR,117.44,91.25,40.11
HTHT,90.15,97.04,75.33
LI,114.0,112.77,77.54
MARA,95.74,83.9,100.57
DNMR,100.0,342.86,3771.43
LAZR,167.51,285.31,666.1
RIVN,96.06,76.95,98.21
PDD,80.0,97.47,77.42
HOPE,89.58,91.47,102.73
UPHL,100.0,100.0,88970.0
VRM,102.53,95.79,
